method_id,metric,field,phase1_value,phase2a_recomputed_value,absolute_difference,status
bicubic,speed_rmse,mean_improvement_delta,0.09213568976966333,0.0921356897696633,2.7755575615628914e-17,PASS
bicubic,speed_rmse,median_improvement_delta,0.08687177789903111,0.08687177789903111,0.0,PASS
bicubic,speed_rmse,n_improved,168,168,0.0,PASS
bicubic,speed_rmse,n_worsened,0,0,0.0,PASS
bicubic,speed_rmse,n_tied,0,0,0.0,PASS
bicubic,speed_rmse,n_valid,168,168,0.0,PASS
bicubic,wpd_mae,cnn_mean,231.67091095165674,231.67091095165674,0.0,PASS
bicubic,wpd_mae,candidate_mean,193.54026913735314,193.540269137353,1.4210854715202004e-13,PASS
bicubic,wpd_mae,mean_raw_delta,-38.1306418143036,-38.13064181430359,1.4210854715202004e-14,PASS
bicubic,wpd_mae,mean_improvement_delta,38.1306418143036,38.13064181430359,1.4210854715202004e-14,PASS
bicubic,wpd_mae,median_improvement_delta,35.06789580866423,35.06789580866423,0.0,PASS
bicubic,wpd_mae,n_improved,168,168,0.0,PASS
bicubic,wpd_mae,n_worsened,0,0,0.0,PASS
bicubic,wpd_mae,n_tied,0,0,0.0,PASS
bicubic,wpd_mae,n_valid,168,168,0.0,PASS
bicubic,wpd_w1,cnn_mean,45.27127092112853,45.271270921128526,7.105427357601002e-15,PASS
bicubic,wpd_w1,candidate_mean,55.51034812461865,55.510348124618694,4.263256414560601e-14,PASS
bicubic,wpd_w1,mean_raw_delta,10.23907720349012,10.239077203490124,3.552713678800501e-15,PASS
bicubic,wpd_w1,mean_improvement_delta,-10.23907720349012,-10.239077203490124,3.552713678800501e-15,PASS
bicubic,wpd_w1,median_improvement_delta,-6.870661504857818,-6.870661504857818,0.0,PASS
bicubic,wpd_w1,n_improved,61,61,0.0,PASS
bicubic,wpd_w1,n_worsened,107,107,0.0,PASS
bicubic,wpd_w1,n_tied,0,0,0.0,PASS
bicubic,wpd_w1,n_valid,168,168,0.0,PASS
bicubic,wpd_bias_abs,cnn_mean,35.343902938857745,35.343902938857745,0.0,PASS
bicubic,wpd_bias_abs,candidate_mean,41.22437202840623,41.22437202840623,0.0,PASS
bicubic,wpd_bias_abs,mean_raw_delta,5.880469089548486,5.880469089548486,0.0,PASS
bicubic,wpd_bias_abs,mean_improvement_delta,-5.880469089548486,-5.880469089548486,0.0,PASS
bicubic,wpd_bias_abs,median_improvement_delta,-1.1509120862871214,-1.1509120862871214,0.0,PASS
bicubic,wpd_bias_abs,n_improved,78,78,0.0,PASS
bicubic,wpd_bias_abs,n_worsened,90,90,0.0,PASS
bicubic,wpd_bias_abs,n_tied,0,0,0.0,PASS
bicubic,wpd_bias_abs,n_valid,168,168,0.0,PASS
bicubic,grad_mae,cnn_mean,0.3490557204526641,0.3490557204526642,1.1102230246251565e-16,PASS
bicubic,grad_mae,candidate_mean,0.3696363608464772,0.3696363608464772,0.0,PASS
bicubic,grad_mae,mean_raw_delta,0.0205806403938131,0.020580640393813094,6.938893903907228e-18,PASS
bicubic,grad_mae,mean_improvement_delta,-0.0205806403938131,-0.020580640393813094,6.938893903907228e-18,PASS
bicubic,grad_mae,median_improvement_delta,-0.019488129729619413,-0.019488129729619413,0.0,PASS
bicubic,grad_mae,n_improved,9,9,0.0,PASS
bicubic,grad_mae,n_worsened,159,159,0.0,PASS
bicubic,grad_mae,n_tied,0,0,0.0,PASS
bicubic,grad_mae,n_valid,168,168,0.0,PASS
bicubic,grad_w1,cnn_mean,0.23294292018237558,0.23294292018237575,1.6653345369377348e-16,PASS
bicubic,grad_w1,candidate_mean,0.3281883217175685,0.32818832171756845,5.551115123125783e-17,PASS
bicubic,grad_w1,mean_raw_delta,0.09524540153519293,0.09524540153519294,1.3877787807814457e-17,PASS
bicubic,grad_w1,mean_improvement_delta,-0.09524540153519293,-0.09524540153519294,1.3877787807814457e-17,PASS
bicubic,grad_w1,median_improvement_delta,-0.08420626814665962,-0.08420626814665962,0.0,PASS
bicubic,grad_w1,n_improved,0,0,0.0,PASS
bicubic,grad_w1,n_worsened,168,168,0.0,PASS
bicubic,grad_w1,n_tied,0,0,0.0,PASS
bicubic,grad_w1,n_valid,168,168,0.0,PASS
bicubic,grad_kurtosis_abs_delta,cnn_mean,3.7003760441443694,3.70037604414437,4.440892098500626e-16,PASS
