sample_idx,method_a,method_b,delta_sample_idx,delta_psnr,delta_wpd_bias,delta_wpd_mae,delta_wpd_rmse,delta_wpd_w1,delta_psd_log_l2,delta_psd_slope_gt,delta_psd_slope_sr,delta_psd_slope_delta,delta_psd_slope_abs_delta,delta_grad_mae,delta_grad_w1,delta_grad_kurtosis_gt,delta_grad_kurtosis_sr,delta_grad_kurtosis_delta,delta_grad_kurtosis_abs_delta,delta_exceed_frac_gt_t5,delta_exceed_frac_sr_t5,delta_exceed_frac_delta_t5,delta_exceed_frac_abs_delta_t5,delta_exceed_frac_gt_t10,delta_exceed_frac_sr_t10,delta_exceed_frac_delta_t10,delta_exceed_frac_abs_delta_t10,delta_exceed_frac_gt_t15,delta_exceed_frac_sr_t15,delta_exceed_frac_delta_t15,delta_exceed_frac_abs_delta_t15,delta_exceed_frac_gt_p90,delta_exceed_frac_sr_p90,delta_exceed_frac_delta_p90,delta_exceed_frac_abs_delta_p90,delta_exceed_frac_gt_p95,delta_exceed_frac_sr_p95,delta_exceed_frac_delta_p95,delta_exceed_frac_abs_delta_p95,delta_exceed_frac_gt_p99,delta_exceed_frac_sr_p99,delta_exceed_frac_delta_p99,delta_exceed_frac_abs_delta_p99,delta_pd_distance,delta_mt_distance
71,cnn,gan,0.0,0.5532210111649043,-964.8532690876682,-964.7005302484804,-1430.754406676897,-964.6411436922308,-0.35796266769176066,0.0,-0.01395546801734135,-0.013955468017341266,0.013955468017341266,-0.1630463632813025,-0.21118511090592348,0.0,0.03813406344955794,0.03813406344955794,0.03813406344955794,0.0,-0.0035760000000000236,-0.0035760000000000236,-0.0035760000000000236,0.0,-0.0027160000000000517,-0.0027160000000000517,-0.0027160000000000517,0.0,-0.010019999999999918,-0.010019999999999918,-0.010019999999999918,0.0,-0.007547999999999999,-0.007547999999999999,-0.007547999999999999,0.0,-0.010064000000000073,-0.010064000000000073,-0.010064000000000073,0.0,-0.010871999999999993,-0.010871999999999993,-0.010871999999999993,-7.157028628668844,-9.529261589050293
72,cnn,gan,0.0,0.5805015158963833,-1039.872178319467,-1040.034670836516,-1503.5491226715458,-1039.7120688924524,-0.3885835244755158,0.0,-0.02542997053452603,-0.025429970534526003,0.025429970534526003,-0.17576052680818705,-0.22073633009319543,0.0,2.9898972382323983,2.9898972382323983,2.9898972382323983,0.0,0.000136000000000025,0.000136000000000025,0.000136000000000025,0.0,-0.0037120000000000486,-0.0037120000000000486,-0.0037120000000000486,0.0,-0.009383999999999948,-0.009383999999999948,-0.009383999999999948,0.0,-0.008427999999999991,-0.008427999999999991,-0.008427999999999991,0.0,-0.009392000000000067,-0.009392000000000067,-0.009392000000000067,0.0,-0.011588000000000043,-0.011588000000000043,-0.011588000000000043,-4.73559384920862,-14.974678039550781
73,cnn,gan,0.0,0.5672891715010273,-998.5695013131162,-998.2810646165781,-1445.5370692080269,-998.2888277448865,-0.37929474670715013,0.0,-0.05756515196519357,-0.05756515196519363,0.05756515196519363,-0.1767896337134176,-0.2189411055412999,0.0,2.976481368869692,2.976481368869692,2.976481368869692,0.0,-0.0015479999999999938,-0.0015479999999999938,-0.0015479999999999938,0.0,-0.0027399999999999647,-0.0027399999999999647,-0.0027399999999999647,0.0,-0.008407999999999971,-0.008407999999999971,-0.008407999999999971,0.0,-0.007211999999999996,-0.007211999999999996,-0.007211999999999996,0.0,-0.008751999999999982,-0.008751999999999982,-0.008751999999999982,0.0,-0.013992000000000004,-0.013992000000000004,-0.013992000000000004,-5.531795150902667,-10.764215469360352
74,cnn,gan,0.0,0.5738348752485898,-968.8320439240551,-968.8412336308875,-1378.2582910086148,-968.6671552125144,-0.3835644339299391,0.0,-0.04996080739873046,-0.04996080739873032,0.04996080739873032,-0.1774545807583347,-0.2035794961232672,0.0,0.7428851379137029,0.7428851379137029,0.7428851379137029,0.0,-0.0031480000000000397,-0.0031480000000000397,-0.0031480000000000397,0.0,-0.0016160000000000618,-0.0016160000000000618,-0.0016160000000000618,0.0,-0.010480000000000045,-0.010480000000000045,-0.010480000000000045,0.0,-0.008743999999999974,-0.008743999999999974,-0.008743999999999974,0.0,-0.010299999999999976,-0.010299999999999976,-0.010299999999999976,0.0,-0.013696000000000041,-0.013696000000000041,-0.013696000000000041,-5.300533779435781,-9.734856605529785
75,cnn,gan,0.0,0.5775839479008056,-939.7376015522777,-939.6959994252529,-1336.2952876151976,-939.5888145991294,-0.40585390853930514,0.0,-0.05939581132236904,-0.05939581132236915,0.05939581132236915,-0.18020049468777655,-0.22423540197580466,0.0,0.5949402776774857,0.5949402776774857,0.5949402776774857,0.0,-2.0000000000020002e-05,-2.0000000000020002e-05,-2.0000000000020002e-05,0.0,-0.0007000000000000339,-0.0007000000000000339,-0.0007000000000000339,0.0,-0.012179999999999969,-0.012179999999999969,-0.012179999999999969,0.0,-0.008552000000000004,-0.008552000000000004,-0.008552000000000004,0.0,-0.011067999999999967,-0.011067999999999967,-0.011067999999999967,0.0,-0.016091999999999995,-0.016091999999999995,-0.016091999999999995,-7.379802461028092,-11.434633255004883
76,cnn,gan,0.0,0.5703973433772482,-880.3318447399661,-880.268997086815,-1224.2812384847093,-880.1654814240101,-0.41481501471195625,0.0,-0.06614290473331394,-0.06614290473331397,0.06614290473331397,-0.18913184058493804,-0.2517325645544872,0.0,2.8876427130733546,2.8876427130733546,1.6626386924156726,0.0,-0.0016639999999999988,-0.0016639999999999988,-0.0016639999999999988,0.0,-0.0035439999999999916,-0.0035439999999999916,-0.0035439999999999916,0.0,-0.01400800000000002,-0.01400800000000002,-0.01400800000000002,0.0,-0.009651999999999994,-0.009651999999999994,-0.009651999999999994,0.0,-0.011612000000000067,-0.011612000000000067,-0.011612000000000067,0.0,-0.01789200000000002,-0.01789200000000002,-0.01789200000000002,-7.937152266040009,-9.892436027526855
77,cnn,gan,0.0,0.572498803852632,-837.4067937070004,-837.9285926980692,-1180.6289413722698,-837.2641770845275,-0.406497782499166,0.0,-0.09494478697882844,-0.09494478697882847,0.09494478697882847,-0.1884698760823782,-0.26499720265272997,0.0,2.4853453753379124,2.4853453753379124,0.24317776348692455,0.0,-0.005395999999999956,-0.005395999999999956,-0.005395999999999956,0.0,-0.0038559999999999706,-0.0038559999999999706,-0.0038559999999999706,0.0,-0.01873199999999997,-0.01873199999999997,-0.01873199999999997,0.0,-0.01229199999999997,-0.01229199999999997,-0.01229199999999997,0.0,-0.015060000000000073,-0.015060000000000073,-0.015060000000000073,0.0,-0.02170799999999995,-0.02170799999999995,-0.02170799999999995,-7.374333564722043,-8.290166854858398
78,cnn,gan,0.0,0.5888914935961047,-838.8670752855242,-839.229359665499,-1239.9908689991717,-838.7272360079087,-0.4537004079063123,0.0,-0.08408249329545409,-0.08408249329545403,0.08408249329545403,-0.1953795130253791,-0.2756204234933598,0.0,2.96060072747035,2.96060072747035,0.915023773268338,0.0,-0.0028039999999999177,-0.0028039999999999177,-0.0028039999999999177,0.0,-0.0032639999999999336,-0.0032639999999999336,-0.0032639999999999336,0.0,-0.01788400000000001,-0.01788400000000001,-0.01788400000000001,0.0,-0.011136000000000035,-0.011136000000000035,-0.011136000000000035,0.0,-0.013628000000000084,-0.013628000000000084,-0.013628000000000084,0.0,-0.020807999999999938,-0.020807999999999938,-0.020807999999999938,-8.196918096827766,-12.021566390991211
79,cnn,gan,0.0,0.5952411489225327,-822.0978162033134,-822.2383173304106,-1231.803357115533,-821.9843216264944,-0.4789137823669112,0.0,-0.12538936506438558,-0.12538936506438558,0.12538936506438558,-0.20321477223508377,-0.29497754254961883,0.0,0.9406292862358612,0.9406292862358612,-0.19217761294063607,0.0,-0.0013720000000000399,-0.0013720000000000399,-0.0013720000000000399,0.0,-0.0042679999999999385,-0.0042679999999999385,-0.0042679999999999385,0.0,-0.020847999999999978,-0.020847999999999978,-0.020847999999999978,0.0,-0.012104000000000004,-0.012104000000000004,-0.012104000000000004,0.0,-0.01394799999999996,-0.01394799999999996,-0.01394799999999996,0.0,-0.02203200000000005,-0.02203200000000005,-0.02203200000000005,-8.095905544859704,-7.278468132019043
80,cnn,gan,0.0,0.6232886509233104,-824.3336547284207,-825.3624908259426,-1262.664063912026,-824.2399596683354,-0.4780661697906873,0.0,-0.13546910084040786,-0.13546910084040786,0.13546910084040786,-0.2033188172194927,-0.30802017577529545,0.0,1.800376360958543,1.800376360958543,1.4443038641540387,0.0,3.6000000000036e-05,3.6000000000036e-05,3.6000000000036e-05,0.0,-0.008460000000000023,-0.008460000000000023,-0.008460000000000023,0.0,-0.022187999999999986,-0.022187999999999986,-0.022187999999999986,0.0,-0.014055999999999957,-0.014055999999999957,-0.014055999999999957,0.0,-0.016123999999999916,-0.016123999999999916,-0.016123999999999916,0.0,-0.022648,-0.022648,-0.022648,-8.33566963796327,-10.054882049560547
