=== CONFIG ===
rows=50 methods=['cnn', 'gan']
physics_columns=35

=== GLOBAL correlations (physics vs PSNR/PD/MT) ===
exceed_frac_abs_delta_t15 :: MT: pearson=0.1394 CI[-0.1517,0.3718] spearman=0.0277 CI[-0.3008,0.3385]
exceed_frac_gt_p90 :: PSNR: pearson=0.0710 CI[-0.0000,0.1518] spearman=0.0566 CI[-0.0438,0.1736]
exceed_frac_gt_p90 :: PD: pearson=-0.0659 CI[-0.1717,0.0000] spearman=-0.0849 CI[-0.2048,0.0142]
exceed_frac_gt_p90 :: MT: pearson=0.2208 CI[-0.0000,0.3745] spearman=0.2548 CI[0.1439,0.4298]
exceed_frac_sr_p90 :: PSNR: pearson=-0.8786 CI[-0.9279,-0.8050] spearman=-0.7662 CI[-0.9108,-0.5295]
exceed_frac_sr_p90 :: PD: pearson=0.1735 CI[-0.0683,0.3784] spearman=0.2262 CI[-0.0522,0.4760]
exceed_frac_sr_p90 :: MT: pearson=0.1275 CI[-0.1336,0.3397] spearman=0.0585 CI[-0.2207,0.3331]
exceed_frac_delta_p90 :: PSNR: pearson=-0.8786 CI[-0.9279,-0.8050] spearman=-0.7662 CI[-0.9108,-0.5295]
exceed_frac_delta_p90 :: PD: pearson=0.1735 CI[-0.0683,0.3784] spearman=0.2262 CI[-0.0522,0.4760]
exceed_frac_delta_p90 :: MT: pearson=0.1275 CI[-0.1336,0.3397] spearman=0.0585 CI[-0.2207,0.3331]
exceed_frac_abs_delta_p90 :: PSNR: pearson=-0.8634 CI[-0.9151,-0.7904] spearman=-0.7523 CI[-0.8838,-0.5247]
exceed_frac_abs_delta_p90 :: PD: pearson=0.1549 CI[-0.0969,0.3662] spearman=0.2108 CI[-0.0625,0.4571]
exceed_frac_abs_delta_p90 :: MT: pearson=0.1078 CI[-0.1434,0.3230] spearman=-0.0108 CI[-0.2890,0.2643]
exceed_frac_gt_p95 :: PSNR: pearson=-0.0000 CI[-0.0000,0.0000] spearman=nan CI[nan,nan]
exceed_frac_gt_p95 :: PD: pearson=0.0000 CI[-0.0000,0.0000] spearman=nan CI[nan,nan]
exceed_frac_gt_p95 :: MT: pearson=-0.0000 CI[-0.0000,0.0000] spearman=nan CI[nan,nan]
exceed_frac_sr_p95 :: PSNR: pearson=-0.8642 CI[-0.9217,-0.7837] spearman=-0.7623 CI[-0.9094,-0.5259]
exceed_frac_sr_p95 :: PD: pearson=0.1609 CI[-0.0995,0.3808] spearman=0.1977 CI[-0.0858,0.4534]
exceed_frac_sr_p95 :: MT: pearson=0.0842 CI[-0.1761,0.2996] spearman=-0.0446 CI[-0.3049,0.2381]
exceed_frac_delta_p95 :: PSNR: pearson=-0.8642 CI[-0.9217,-0.7837] spearman=-0.7623 CI[-0.9094,-0.5259]
exceed_frac_delta_p95 :: PD: pearson=0.1609 CI[-0.0995,0.3808] spearman=0.1977 CI[-0.0858,0.4534]
exceed_frac_delta_p95 :: MT: pearson=0.0842 CI[-0.1761,0.2996] spearman=-0.0446 CI[-0.3049,0.2381]
exceed_frac_abs_delta_p95 :: PSNR: pearson=-0.8612 CI[-0.9190,-0.7817] spearman=-0.7592 CI[-0.9001,-0.5249]
exceed_frac_abs_delta_p95 :: PD: pearson=0.1576 CI[-0.1076,0.3789] spearman=0.1915 CI[-0.0886,0.4438]
exceed_frac_abs_delta_p95 :: MT: pearson=0.0787 CI[-0.1791,0.2949] spearman=-0.0523 CI[-0.3079,0.2217]
exceed_frac_gt_p99 :: PSNR: pearson=nan CI[nan,nan] spearman=nan CI[nan,nan]
exceed_frac_gt_p99 :: PD: pearson=nan CI[nan,nan] spearman=nan CI[nan,nan]
exceed_frac_gt_p99 :: MT: pearson=nan CI[nan,nan] spearman=nan CI[nan,nan]
exceed_frac_sr_p99 :: PSNR: pearson=-0.8487 CI[-0.9193,-0.7606] spearman=-0.7762 CI[-0.9170,-0.5359]
exceed_frac_sr_p99 :: PD: pearson=0.0854 CI[-0.2256,0.3394] spearman=0.1138 CI[-0.2026,0.4009]
exceed_frac_sr_p99 :: MT: pearson=-0.0014 CI[-0.2433,0.2218] spearman=-0.1562 CI[-0.4045,0.1390]
exceed_frac_delta_p99 :: PSNR: pearson=-0.8487 CI[-0.9193,-0.7606] spearman=-0.7762 CI[-0.9170,-0.5359]
