sample_idx,delta_metric,abs_delta_metric,delta_pd,delta_mt,z_delta_pd,z_delta_mt,topology_score,topology_consistent
20,0.14002043786126678,0.14002043786126678,-10.464251299518732,-8.583622455596924,3.0437865841438807,1.9026830435936812,3.0437865841438807,True
119,0.11331627327187027,0.11331627327187027,-10.45998875016057,-10.13553524017334,3.042546716122819,2.2466867734437095,3.042546716122819,True
7,0.10242241201676333,0.10242241201676333,-8.387664366848554,-13.706635475158691,2.4397598587191314,3.0382723655674164,3.0382723655674164,True
111,0.1346126186345153,0.1346126186345153,-10.415133970965037,-9.193821907043457,3.029499592994538,2.037942504908927,3.029499592994538,True
108,0.13795733481300942,0.13795733481300942,-9.953376312147398,-12.419206619262695,2.8951859448600117,2.7528952923540797,2.8951859448600117,True
110,0.13780426519879474,0.13780426519879474,-9.937704328213186,-8.719443321228027,2.8906273602961963,1.9327896867200938,2.8906273602961963,True
109,0.14210650068733843,0.14210650068733843,-9.899812119169773,-11.873429298400879,2.8796054730891085,2.6319159203752185,2.8796054730891085,True
21,0.10934195223238719,0.10934195223238719,-9.774966780938954,-5.274704933166504,2.843291115308218,1.1692140105430484,2.843291115308218,True
101,0.1312086988961636,0.1312086988961636,-8.16059920875513,-12.826102256774902,2.3737123353800214,2.843089547053843,2.843089547053843,True
61,0.14430123775062986,0.14430123775062986,-8.337766803132155,-12.736973762512207,2.4252459168541813,2.8233329378120082,2.8233329378120082,True
8,0.08629444643491718,0.08629444643491718,-9.536728113163669,-10.233268737792969,2.7739935000233027,2.2683508051126138,2.7739935000233027,True
84,0.13131778815430661,0.13131778815430661,-8.644961302175162,-12.504410743713379,2.514601043001898,2.7717820087346277,2.7717820087346277,True
129,0.10137560827965475,0.10137560827965475,-9.524843673949647,-4.488343238830566,2.770536616620533,0.9949056611620717,2.770536616620533,True
18,0.1681820699533288,0.1681820699533288,-9.459816686557495,-8.381495952606201,2.7516219072766717,1.8578788048365853,2.7516219072766717,True
91,0.1875983779577891,0.1875983779577891,-9.432701717695647,-3.492115020751953,2.74373484721964,0.774077386398919,2.74373484721964,True
78,0.13167164011626037,0.13167164011626037,-8.196918096827766,-12.021566390991211,2.3842765832275092,2.664752631875164,2.664752631875164,True
2,0.027722882918439218,0.027722882918439218,2.3345987502513204,-11.96224594116211,0.6790758509116517,2.651603403258453,2.651603403258453,False
