sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_expanded2688,was_mt_gan_win_before
107,107,29.64376642955138,20.682183399063746,21.260066948633355,5.574344635009766,7.6041154861450195,5.504298210144043,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
108,108,28.940126674621943,21.1993064034262,22.3819943243575,5.6898322105407715,7.595790386199951,5.363439559936523,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
109,109,28.97319829057234,20.853111383838083,21.713960044412797,5.088190078735352,7.198193550109863,5.642833709716797,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,22.28451380424203,5.806641101837158,6.568319320678711,5.232348442077637,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
111,111,28.17742348677506,18.815230764049467,21.62823691051362,5.513612270355225,8.167459487915039,5.779996871948242,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,21.635357091890906,5.637857913970947,6.682409286499023,5.948563098907471,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,20.189814990997107,5.502909183502197,6.949485778808594,5.609986782073975,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,19.47477160453037,5.123978614807129,5.899235248565674,5.361511707305908,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,19.113053735680833,4.689971923828125,7.232174873352051,5.575875759124756,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,19.611624293694547,5.35050630569458,7.636551856994629,7.016522407531738,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,21.394344659628043,5.260716915130615,8.683184623718262,6.215367794036865,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,23.96527496339216,6.84329080581665,9.465571403503418,6.711981773376465,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
119,119,27.187847892928154,20.557132674744736,23.843228425435964,5.218785285949707,6.129123687744141,5.819300174713135,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,24.265221482571654,4.889072418212891,7.93386173248291,5.723999977111816,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,23.84722816011429,5.373913288116455,7.535200595855713,5.286341667175293,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
122,122,28.017758663142306,22.491589595860475,23.68739770382966,5.264456272125244,7.450175762176514,5.538252830505371,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,23.07643138747328,6.196282386779785,8.431406021118164,5.663602352142334,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
124,124,28.184626374879375,22.119830159019614,22.386286533142727,6.166434288024902,6.818744659423828,5.577616214752197,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
125,125,28.43981263564626,21.313574573250694,21.481642506175163,5.748098373413086,10.086677551269531,4.7653985023498535,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
126,126,28.023492407781937,22.88972837862729,21.054275536293726,4.992148399353027,8.052214622497559,4.680826187133789,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
127,127,30.000730217921266,24.85609607980766,22.988691792808442,5.114649772644043,13.074076652526855,5.099184513092041,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
