sample_idx,psnr_cnn,psnr_gan,ssim_cnn,ssim_gan,abs_delta_psnr,abs_delta_ssim,mt_cnn,mt_gan,pd_cnn,pd_gan,delta_mt_cnn_minus_gan,delta_pd_cnn_minus_gan,winner_mt,winner_pd,cnn_lr_mae,gan_lr_mae,cnn_lr_mse,gan_lr_mse,cnn_lr_psnr,gan_lr_psnr,winner_lr_mae,winner_lr_mse,winner_lr_psnr,winner_lr_group,cnn_err_abs_max,gan_err_abs_max,winner_extreme_abs_max,cnn_exceed_err_q90,gan_exceed_err_q90,winner_exceed_q90,cnn_exceed_err_q95,gan_exceed_err_q95,winner_exceed_q95,cnn_tail_mae,gan_tail_mae,winner_tail_mae,winner_extreme_group,cnn_wpd_rmse,gan_wpd_rmse,winner_wpd_rmse,cnn_wpd_mae,gan_wpd_mae,winner_wpd_mae,cnn_psd_log_l2,gan_psd_log_l2,winner_psd_log_l2,cnn_grad_mae,gan_grad_mae,winner_grad_mae,winner_physics_group,agree_mt_winner_lr_mae,agree_mt_winner_lr_mse,agree_mt_winner_lr_psnr,agree_mt_winner_lr_group,agree_mt_winner_extreme_abs_max,agree_mt_winner_extreme_group,agree_mt_winner_tail_mae,agree_mt_winner_physics_group,topology_gap_abs,agreement_score,metric,threshold,top_case_group
8,31.360491209352674,30.40523844100236,0.5424755769298811,0.4823232134970159,0.9552527683503129,0.06015236343286523,7.50956392288208,6.055016040802002,29.63505050414828,23.282081530392528,1.4545478820800781,6.35296897375575,gan,gan,0.440877921252276,0.5288720415995051,0.4705734157924602,0.5775800885608953,30.751756028745067,29.861907787193246,cnn,cnn,cnn,cnn,0.8518651248820213,3.1033624689693404,cnn,0.01223600000000001,0.011412000000000005,gan,0.009792000000000002,0.009832,cnn,1.655243638213431,1.8402476556042762,cnn,cnn,660.5428584979636,736.3017482962775,cnn,300.281470491702,349.530122594766,cnn,0.6523686836173482,0.67391478655319,cnn,0.38899178180769256,0.4007881598446069,cnn,cnn,0,0,0,0,0,0,0,0,1.4545478820800781,0.0,ssim,0.075,highest_disagreement
25,32.551973374121204,30.997709699649167,0.5231426682354472,0.4964243047923469,1.5542636744720362,0.0267183634431003,11.371563911437988,10.501462936401367,36.58411526021696,30.123491475362258,0.8701009750366211,6.460623784854704,gan,gan,0.5104961473021569,0.7040029065328514,0.5295119509776418,1.0179197439664969,30.885534377659223,28.047156660678294,cnn,cnn,cnn,cnn,9.41711788089902,8.366034476195011,gan,0.005104000000000011,0.00538000000000001,cnn,0.010960000000000004,0.013188000000000005,cnn,1.044041743591007,1.2318740587055572,cnn,cnn,952.8549385654705,1161.5442663567658,cnn,468.59253760146345,599.7379526420689,cnn,1.175332261792815,0.6665166362718813,gan,0.46351786527523126,0.4804834029442555,cnn,cnn,0,0,0,0,1,0,0,0,0.8701009750366211,0.0,ssim,0.075,highest_disagreement
12,31.323965112591917,29.722956551464673,0.5071715707128571,0.48221312968176655,1.6010085611272444,0.024958441031090572,6.61636209487915,5.913707256317139,30.104522332856273,24.220613253945245,0.7026548385620117,5.883909078911028,gan,gan,0.42589326968672075,0.5540520446385788,0.39615301893024024,0.6680085132563168,29.813016983056862,27.543826709116075,cnn,cnn,cnn,cnn,0.13549289952219468,2.2775582058372734,cnn,0.008984000000000006,0.004364000000000007,gan,0.008652,0.004744000000000005,gan,0.7365097175062029,0.8431355081577164,cnn,tie,477.7448860366581,589.640514041184,cnn,264.69706065698887,339.54737388718826,cnn,0.9539183791233589,0.6403149726723225,gan,0.3713575429796618,0.3986705431741365,cnn,cnn,0,0,0,0,0,na,0,0,0.7026548385620117,0.0,ssim,0.075,highest_disagreement
131,31.380336354373057,29.47617395331682,0.591905800155085,0.5220472603960068,1.9041624010562366,0.06985853975907819,6.2030792236328125,12.011610984802246,33.0539968727652,25.23355611194131,-5.808531761169434,7.820440760823885,cnn,gan,0.476527391106295,0.618511965201513,0.4272741496837241,0.805463198733479,30.89900906762829,28.145618228439016,cnn,cnn,cnn,cnn,0.523313009611531,7.381085381912353,cnn,0.01345600000000001,0.012740000000000001,gan,0.013696,0.008464,gan,0.9052337383624028,0.7906236068098861,gan,gan,635.8938490514463,916.2333511878167,cnn,394.3154103389451,503.46271390344896,cnn,0.8529033841987363,0.5231116919626858,gan,0.3919248256056496,0.42096771850022685,cnn,cnn,1,1,1,1,1,0,0,1,5.808531761169434,0.6666666666666666,ssim,0.075,highest_disagreement
84,28.890062292366217,26.58859881999711,0.5887479558581097,0.5140077548676244,2.3014634723691074,0.07474020099048528,5.271510124206543,8.559276580810547,29.14514380262554,21.106373639070085,-3.287766456604004,8.038770163555455,cnn,gan,0.3710684494515073,0.5908563244851835,0.2753939358780007,0.7032232608383965,30.010327796133836,25.938939248967145,cnn,cnn,cnn,cnn,1.8555751776266618,9.946264944600763,cnn,0.02398800000000001,0.019907999999999995,gan,0.017204000000000004,0.011684,gan,1.4394559977138341,1.4133670237642328,gan,gan,351.54401969940164,576.0170489552896,cnn,179.61905679510735,265.7533628433784,cnn,1.077486073851736,0.5006438460432009,gan,0.3998267283628006,0.4323532204275706,cnn,cnn,1,1,1,1,1,0,0,1,3.287766456604004,0.6666666666666666,ssim,0.075,highest_disagreement
27,32.43554725561233,31.004774013425244,0.5455050057267327,0.5158597038414781,1.4307732421870831,0.029645301885254605,6.4783101081848145,19.968429565429688,36.89696946573002,30.945378681968467,-13.490119457244873,5.951590783761549,cnn,gan,0.5691386046622094,0.7696634262762271,0.6882513740714592,1.270978061840245,29.98897944238759,27.325069770323317,cnn,cnn,cnn,cnn,2.5199343383113586,18.942188480721178,cnn,0.0019639999999999935,0.003928000000000001,cnn,0.005804000000000004,0.0009959999999999969,gan,1.2803894641329714,1.3273803139799443,cnn,cnn,1075.806699306839,1542.905918617315,cnn,539.2322537921307,687.0940395503727,cnn,1.0338251268491814,0.5527756599668898,gan,0.502052729104065,0.52770402576532,cnn,cnn,1,1,1,1,1,1,1,1,13.490119457244873,1.0,ssim,0.075,highest_disagreement
33,33.13841166027277,31.33543402332805,0.6291099541721126,0.577199397558745,1.8029776369447212,0.05191055661336752,6.76971960067749,20.00556755065918,38.39305861348763,30.400139282712473,-13.23584794998169,7.992919330775159,cnn,gan,0.46422265547070846,0.7027115974597395,0.510815538630059,1.1450073253186703,30.299129501749654,26.793687847488286,cnn,cnn,cnn,cnn,2.630935321604767,18.89847734466406,cnn,0.005656000000000008,0.023803999999999992,cnn,0.011028000000000003,0.020332000000000003,cnn,1.3730832215683733,1.3830427545422077,cnn,cnn,764.751857341383,1305.5708100380843,cnn,352.71875426421553,499.91072771643724,cnn,1.1318069454482156,0.5073020370980564,gan,0.4413939123562078,0.4643614594791311,cnn,cnn,1,1,1,1,1,1,1,1,13.23584794998169,1.0,ssim,0.075,highest_disagreement
34,33.07202844590628,31.370556204226762,0.6229292723566594,0.567283482820683,1.7014722416795145,0.05564578953597643,6.323113918304443,19.445999145507812,37.356416104450325,28.907547601520903,-13.12288522720337,8.448868502929422,cnn,gan,0.45994250663864794,0.6810252802538272,0.5142421118138816,1.1202125210727334,29.829043160745428,26.447715320115684,cnn,cnn,cnn,cnn,1.5901306293968496,18.339828324600116,cnn,0.009000000000000008,0.01938799999999999,cnn,0.013480000000000006,0.01658799999999999,cnn,1.3281032156410517,1.316492897006437,gan,cnn,741.5300760175506,1263.77870563877,cnn,347.5407834638081,479.9809998607392,cnn,1.2791768655847573,0.5305548480536366,gan,0.4382239262492533,0.45985698873311476,cnn,cnn,1,1,1,1,1,1,0,1,13.12288522720337,1.0,ssim,0.075,highest_disagreement
32,33.02557990556471,31.329788764503412,0.6141962458916969,0.5668540061885483,1.6957911410612994,0.04734223970314855,7.461033821105957,19.229158401489258,38.55925876668554,30.547158977309156,-11.7681245803833,8.012099789376382,cnn,gan,0.5051768311565649,0.7202969225533907,0.5825355460393601,1.183302397596829,29.96174193762234,26.884008802293714,cnn,cnn,cnn,cnn,3.840980682829567,18.026115696144636,cnn,0.0048960000000000115,0.023679999999999993,cnn,0.005636000000000002,0.017804,cnn,1.4980921211863236,1.5200446465965913,cnn,cnn,852.2134222710496,1325.6962716925323,cnn,385.69790253652036,527.9534340681104,cnn,1.0390081069692407,0.4673002428402866,gan,0.44980215489013164,0.48704535380406533,cnn,cnn,1,1,1,1,1,1,1,1,11.7681245803833,1.0,ssim,0.075,highest_disagreement
31,32.90329769043908,31.254266946670207,0.5933565142986378,0.560276398804242,1.6490307437688756,0.03308011549439582,6.818642616271973,16.23410415649414,39.104318483733294,31.3053599336416,-9.415461540222168,7.798958550091694,cnn,gan,0.5260471178581105,0.7285619412536761,0.5983450656730244,1.2074898597714494,29.775768665782685,26.726450881637373,cnn,cnn,cnn,cnn,1.9753236737731825,14.84238656004208,cnn,0.0049960000000000004,0.020947999999999994,cnn,0.010148000000000004,0.015191999999999997,cnn,1.5606126269297353,1.566101585693588,cnn,cnn,868.8148701848337,1318.0910782213407,cnn,409.8108667034604,552.2278636914317,cnn,0.9510075024444029,0.4303520102960272,gan,0.4604744525880125,0.49124521467420523,cnn,cnn,1,1,1,1,1,1,1,1,9.415461540222168,1.0,ssim,0.075,highest_disagreement
