sample_idx,pos_idx,pd_distance_candidateB_expanded672,mt_distance_candidateB_expanded672
134,134,29.23168356292669,7.1241960525512695
135,135,27.18784796345866,7.422882080078125
136,136,25.209248952413507,5.895073413848877
137,137,23.719860354981307,4.938087463378906
138,138,23.169994974659538,4.829995632171631
139,139,22.18408839776218,5.189800262451172
140,140,23.943238759621025,5.253817081451416
141,141,27.77191060397417,6.87914514541626
142,142,29.774701687472938,7.256507396697998
143,143,28.34080650129304,6.8401780128479
144,144,28.02820834219133,5.75547456741333
145,145,27.23796443408983,6.461094379425049
146,146,26.869116236965837,6.437699317932129
147,147,24.89717870987192,7.141356468200684
148,148,23.892107917669673,5.944976806640625
149,149,22.788090677634564,7.163275241851807
150,150,22.03239040549421,6.317547798156738
151,151,21.019834563274927,6.7017598152160645
152,152,19.950369395818907,6.581651210784912
153,153,19.75526602523184,6.571127414703369
154,154,19.287626877469247,6.2056193351745605
155,155,19.853458641498122,6.599697113037109
156,156,20.125822422342136,5.437524318695068
157,157,22.270682805007418,5.102392196655273
158,158,24.415512032565655,5.7307820320129395
159,159,21.756918300876183,5.159929275512695
160,160,19.283551571775433,5.944746017456055
161,161,19.05134688118774,5.440517425537109
162,162,18.187973671625645,5.275563716888428
163,163,19.511012588334122,5.523922443389893
164,164,20.980919216196295,5.839634895324707
165,165,22.12700505607804,7.341951370239258
166,166,23.037791753986504,6.938239574432373
167,167,22.36985741385058,7.014717102050781
