sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_expanded1344,pd_winner_before,pd_winner_after_candidateUV_expanded1344,mt_winner_before,mt_winner_after_candidateUV_expanded1344,was_mt_gan_win_before
36,36,35.61901723291445,27.743736665197815,39.106092850079634,6.097905158996582,9.26945686340332,6.451672554016113,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,36.9305108431744,6.489102840423584,9.59257698059082,6.646640300750732,gan,gan,cnn,cnn,0
38,38,29.159912858159764,23.780350003542182,33.507745581402766,6.054014682769775,7.416414260864258,7.454927921295166,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,28.69894013379604,5.873856067657471,8.546488761901855,6.376287460327148,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,26.313495210048806,5.6310811042785645,8.988521575927734,7.0758562088012695,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,24.667521151526252,5.389686584472656,8.901470184326172,6.157917499542236,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,22.532115496189128,5.757840156555176,7.383090972900391,6.183064937591553,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,20.915876232392353,5.7682366371154785,7.053122520446777,6.218522071838379,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,19.72692719746237,6.20600700378418,7.041088581085205,6.82611083984375,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,20.334529473101064,6.566225528717041,6.773196697235107,6.37883996963501,gan,gan,cnn,candidateUV_expanded1344,0
46,46,20.678325640697178,16.27228595124608,19.654869100779273,6.243154048919678,6.650214672088623,5.829466819763184,gan,gan,cnn,candidateUV_expanded1344,0
47,47,22.201753073772625,13.108895112859523,20.61299129816116,6.789880752563477,7.498397350311279,6.488409996032715,gan,gan,cnn,candidateUV_expanded1344,0
48,48,22.832495463547907,13.107025960847848,21.711708928129493,7.081502437591553,6.682991981506348,6.979802131652832,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,21.8114846763746,6.3195295333862305,7.889017105102539,6.6014323234558105,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,21.26162589675465,6.3856120109558105,6.713321685791016,6.162740707397461,gan,gan,cnn,candidateUV_expanded1344,0
51,51,21.75849079768097,16.03686368056312,21.725306775374683,5.902731418609619,7.996896266937256,5.795664310455322,gan,gan,cnn,candidateUV_expanded1344,0
52,52,21.81632996072092,16.98731478928289,22.669059931906,5.69123649597168,7.0050048828125,5.647077560424805,gan,gan,cnn,candidateUV_expanded1344,0
53,53,21.92458068590406,18.078201501754,22.9903383825444,5.261850833892822,7.919146537780762,5.523611545562744,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,24.099758699760834,5.500187397003174,9.581897735595703,5.49098539352417,gan,gan,cnn,candidateUV_expanded1344,0
55,55,23.57536347476084,17.428151978200873,24.99637797299921,5.2683796882629395,7.846588134765625,5.487686634063721,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,25.67671726289721,5.488292217254639,7.826909065246582,5.594152450561523,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,25.909014521342282,5.463809013366699,6.805661201477051,5.928023815155029,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,26.65126852765331,6.08959436416626,8.349846839904785,6.5076069831848145,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,26.99410553566496,5.546851634979248,7.89148473739624,5.943131923675537,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,27.405999124665378,5.321651458740234,8.357301712036133,6.0611491203308105,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,27.699681969334403,5.346891403198242,8.12722110748291,6.110223293304443,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,29.163243525973144,6.720277786254883,6.650205135345459,7.331924915313721,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,29.787713838040155,7.660599708557129,7.5776286125183105,7.4831223487854,gan,gan,gan,candidateUV_expanded1344,1
64,64,24.7100597287657,16.701032359601633,25.239285601172348,5.944510459899902,7.137726306915283,6.100173473358154,gan,gan,cnn,cnn,0
65,65,22.148883751156426,16.23947552161985,23.178368428154812,5.820770263671875,5.576780319213867,5.802183151245117,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,21.78019297034327,5.701828956604004,6.4086198806762695,5.4857001304626465,gan,gan,cnn,candidateUV_expanded1344,0
67,67,20.679919922717943,14.773695042869097,21.224067492275186,5.030301094055176,6.6433844566345215,5.379499435424805,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,22.22330536759543,6.074338436126709,5.670867919921875,5.581085681915283,gan,gan,gan,candidateUV_expanded1344,1
69,69,24.168055816700438,16.112222498232782,25.376061941621437,5.17050838470459,6.406604290008545,5.534488201141357,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,26.09417861456811,5.396136283874512,5.861793041229248,5.653994560241699,gan,gan,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,27.137962737287673,5.1588335037231445,7.186563014984131,5.932928085327148,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,28.490456330492528,4.796044826507568,5.719583988189697,6.074830532073975,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,29.801740658562753,4.9851861000061035,5.75114631652832,6.268013000488281,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,30.806461962243617,4.782100200653076,5.644299030303955,6.557254314422607,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,31.39606980501682,5.201173305511475,5.680557727813721,6.0656938552856445,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,32.02666359053698,5.207019329071045,6.450347900390625,6.052515029907227,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,32.109283370069186,6.132026672363281,6.000014781951904,6.152813911437988,gan,gan,gan,gan,1
78,78,30.300511724579902,19.95492094933438,31.604803038292456,5.8028388023376465,7.092807292938232,6.747202396392822,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,31.50102872011302,6.856454849243164,6.467032432556152,6.779053688049316,gan,gan,gan,gan,1
80,80,30.086252753371088,20.744918439924255,31.41971629570807,6.982686519622803,6.176682472229004,6.552474021911621,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,31.628662826815994,6.426537990570068,7.567525863647461,6.257205963134766,gan,gan,cnn,candidateUV_expanded1344,0
82,82,28.90089773637945,20.81634708740007,30.967557394804444,7.1840739250183105,6.303605079650879,6.66594934463501,gan,gan,gan,gan,1
83,83,28.194313716720707,21.794751727168247,30.635919483686973,6.560110569000244,6.599743366241455,6.045675277709961,gan,gan,cnn,candidateUV_expanded1344,0
84,84,29.14514380262554,21.106373639070085,30.908069943735022,5.271510124206543,8.559276580810547,6.225257873535156,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,30.555093968293253,5.609640121459961,7.718591690063477,5.7588348388671875,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,30.927174662186612,5.25334358215332,9.43416690826416,5.7438130378723145,gan,gan,cnn,cnn,0
