sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_levelset_expanded2688,was_mt_gan_win_before
50,50,21.30877833114525,14.865452226211227,21.26735528942986,6.3856120109558105,6.713321685791016,6.174075126647949,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
51,51,21.75849079768097,16.03686368056312,21.668245455194082,5.902731418609619,7.996896266937256,5.6839919090271,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
52,52,21.81632996072092,16.98731478928289,22.55698913126652,5.69123649597168,7.0050048828125,5.946927070617676,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,22.95107073281755,5.261850833892822,7.919146537780762,5.3009514808654785,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,24.093589551212453,5.500187397003174,9.581897735595703,5.512017726898193,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,24.917247501219695,5.2683796882629395,7.846588134765625,5.497385025024414,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,25.58146349660668,5.488292217254639,7.826909065246582,5.757907390594482,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,25.779326095193664,5.463809013366699,6.805661201477051,6.082451343536377,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,26.62723572268041,6.08959436416626,8.349846839904785,6.152681827545166,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,26.954652211485126,5.546851634979248,7.89148473739624,5.670083522796631,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,27.373951921244707,5.321651458740234,8.357301712036133,5.91337251663208,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,27.441282193853525,5.346891403198242,8.12722110748291,6.10430908203125,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,28.9035636623267,6.720277786254883,6.650205135345459,7.091248035430908,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,29.797354589292695,7.660599708557129,7.5776286125183105,7.537726879119873,gan,gan,gan,candidateB_factorial_speed_levelset_expanded2688,1
64,64,24.7100597287657,16.701032359601633,25.148703147676706,5.944510459899902,7.137726306915283,6.087631702423096,gan,gan,cnn,cnn,0
65,65,22.148883751156426,16.23947552161985,23.192717570918116,5.820770263671875,5.576780319213867,5.814643859863281,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,21.773799620918638,5.701828956604004,6.4086198806762695,5.572150707244873,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
67,67,20.679919922717943,14.773695042869097,21.222986762312324,5.030301094055176,6.6433844566345215,5.070029258728027,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,21.98667071425256,6.074338436126709,5.670867919921875,5.53083610534668,gan,gan,gan,candidateB_factorial_speed_levelset_expanded2688,1
69,69,24.168055816700438,16.112222498232782,25.38029982878787,5.17050838470459,6.406604290008545,5.486042499542236,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,26.171567608954057,5.396136283874512,5.861793041229248,5.5755414962768555,gan,gan,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,27.047700401651564,5.1588335037231445,7.186563014984131,6.020084381103516,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,28.422702045383915,4.796044826507568,5.719583988189697,5.9214911460876465,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,29.86564380290372,4.9851861000061035,5.75114631652832,5.854095458984375,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,30.761338573133692,4.782100200653076,5.644299030303955,6.36147928237915,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,31.318481886685014,5.201173305511475,5.680557727813721,6.137861251831055,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,31.935919226182353,5.207019329071045,6.450347900390625,6.022356986999512,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,31.77194027507058,6.132026672363281,6.000014781951904,5.885527610778809,gan,gan,gan,candidateB_factorial_speed_levelset_expanded2688,1
78,78,30.300511724579902,19.95492094933438,31.377038584628,5.8028388023376465,7.092807292938232,6.214080333709717,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,31.46238510851502,6.856454849243164,6.467032432556152,6.526515483856201,gan,gan,gan,gan,1
80,80,30.086252753371088,20.744918439924255,31.45810805173588,6.982686519622803,6.176682472229004,6.340395927429199,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,31.4765573432633,6.426537990570068,7.567525863647461,5.841658592224121,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
82,82,28.90089773637945,20.81634708740007,31.07586341320958,7.1840739250183105,6.303605079650879,6.188518524169922,gan,gan,gan,candidateB_factorial_speed_levelset_expanded2688,1
83,83,28.194313716720707,21.794751727168247,30.681489336273014,6.560110569000244,6.599743366241455,5.542947769165039,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
84,84,29.14514380262554,21.106373639070085,30.898933140633204,5.271510124206543,8.559276580810547,5.964486122131348,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,30.680383656655486,5.609640121459961,7.718591690063477,5.739734172821045,gan,gan,cnn,cnn,0
