sample_idx,pos_idx,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_candidateB_factorial_speed_levelset_expanded2688
104,104,31.77917680214422,5.252601146697998
105,105,31.747081790832013,6.04611349105835
106,106,31.669903852109766,6.434118270874023
107,107,31.29129482096635,5.9120354652404785
108,108,31.36486064605242,6.319320201873779
109,109,31.259324212716418,5.792625427246094
110,110,31.67391158618253,6.181241989135742
111,111,30.36203296944755,6.1269121170043945
112,112,29.827912419933522,6.195555686950684
113,113,28.610216651194904,5.92955207824707
114,114,27.387455125273963,5.687033176422119
115,115,27.74178518433019,5.414295673370361
116,116,28.703024095924548,5.440117359161377
117,117,30.055686412899483,5.7580366134643555
118,118,31.90823728330031,6.666720390319824
119,119,31.77999527928102,6.028454780578613
120,120,31.048873689261153,5.323445796966553
121,121,31.762216350315448,5.591558933258057
122,122,31.189774379741653,5.743377208709717
123,123,30.936131937920333,5.73992919921875
124,124,30.673593473431918,5.710932731628418
125,125,30.178730478904004,5.311132431030273
126,126,29.64936869739315,4.997903347015381
127,127,31.40825173572449,5.435548305511475
128,128,30.60864554852791,5.12484073638916
129,129,31.523961328276286,6.2050700187683105
130,130,31.554957575606334,5.189115047454834
131,131,33.85136263825002,6.972464084625244
132,132,35.381148027811186,6.829416751861572
133,133,35.69291101374267,6.009424209594727
134,134,32.95012212220835,5.687474727630615
135,135,30.54776605366109,5.5210371017456055
136,136,28.453315407297435,5.8622517585754395
137,137,27.3350454143813,4.719279766082764
138,138,26.544726033529933,4.565525531768799
139,139,25.614908574309357,4.832144260406494
140,140,27.39612372530735,5.1249189376831055
141,141,31.70044249985741,6.487087726593018
142,142,35.39547498695373,6.215576648712158
143,143,33.90462556639936,5.669602394104004
144,144,33.66597497533264,5.627719879150391
145,145,33.12372969743029,5.672878265380859
146,146,32.37874320869432,6.706195831298828
147,147,30.451278719691075,6.5388922691345215
148,148,29.244460480450815,5.400441646575928
149,149,28.359394747781373,6.1737213134765625
150,150,26.869351789241932,6.281157970428467
151,151,26.00381302377972,6.273515224456787
152,152,25.829221769768626,6.180697917938232
153,153,25.29380445744217,6.508519649505615
154,154,24.552956081716587,6.153530597686768
155,155,24.943740793603137,6.420996189117432
156,156,25.968071816393543,5.214898109436035
157,157,27.14230457121384,5.3271589279174805
158,158,29.48011739034607,5.8183135986328125
159,159,26.52702035121543,5.019954681396484
160,160,24.357324584269463,4.977344989776611
161,161,23.104424505811764,4.545778751373291
162,162,23.0260958754218,4.450969219207764
163,163,24.192174009707053,5.102394104003906
164,164,25.870580061810042,5.045398235321045
165,165,27.4503573513266,5.217031478881836
166,166,28.624546006723165,5.452273845672607
167,167,28.365474396979938,5.035548210144043
