objective_set,bootstrap_scheme,method_id,n_replicates,front_membership_count,front_membership_rate,always_on_front,never_on_front
cross_family_compact,block24,candidate_c,10000,10000,1.0,True,False
cross_family_compact,block24,cnn,10000,2256,0.2256,False,False
cross_family_compact,block24,f1_grad_e2,10000,10000,1.0,True,False
cross_family_compact,block24,f2_grad_levelset_e2,10000,10000,1.0,True,False
cross_family_compact,block24,f3_grad_crit,10000,9961,0.9961,False,False
cross_family_compact,block24,gan,10000,10000,1.0,True,False
cross_family_compact,block24,grad_levelset,10000,10000,1.0,True,False
cross_family_compact,block24,grad_only,10000,10000,1.0,True,False
cross_family_compact,block24,levelset_only,10000,10000,1.0,True,False
cross_family_compact,block24,speed_grad,10000,9994,0.9994,False,False
cross_family_compact,block24,speed_levelset,10000,10000,1.0,True,False
cross_family_compact,block24,speed_only,10000,10000,1.0,True,False
cross_family_compact,block24,uv,10000,9814,0.9814,False,False
cross_family_compact,block24,uv_crit,10000,10000,1.0,True,False
cross_family_compact,block24,uv_e2,10000,9997,0.9997,False,False
all_available_non_ssim,block24,b_e2,10000,10000,1.0,True,False
all_available_non_ssim,block24,c_e2,10000,10000,1.0,True,False
all_available_non_ssim,block24,candidate_b,10000,10000,1.0,True,False
all_available_non_ssim,block24,candidate_c,10000,10000,1.0,True,False
all_available_non_ssim,block24,cnn,10000,10000,1.0,True,False
all_available_non_ssim,block24,f1_grad_e2,10000,10000,1.0,True,False
all_available_non_ssim,block24,f2_grad_levelset_e2,10000,10000,1.0,True,False
all_available_non_ssim,block24,f3_grad_crit,10000,10000,1.0,True,False
all_available_non_ssim,block24,gan,10000,10000,1.0,True,False
all_available_non_ssim,block24,grad_levelset,10000,10000,1.0,True,False
all_available_non_ssim,block24,grad_only,10000,10000,1.0,True,False
all_available_non_ssim,block24,levelset_only,10000,10000,1.0,True,False
all_available_non_ssim,block24,speed_grad,10000,10000,1.0,True,False
all_available_non_ssim,block24,speed_levelset,10000,10000,1.0,True,False
all_available_non_ssim,block24,speed_only,10000,10000,1.0,True,False
all_available_non_ssim,block24,uv,10000,10000,1.0,True,False
all_available_non_ssim,block24,uv_crit,10000,10000,1.0,True,False
all_available_non_ssim,block24,uv_e2,10000,10000,1.0,True,False
