phase,file_path,sha256_before,sha256_after,status
phase2a,ttk_runs_fixed/unified_candidate_analysis/phase2a/topology_tradeoff_summary_sorted.csv,2a922d816e28e63e4546cd9a793ac61f641b48e27009b38bf2128a52274554ef,2a922d816e28e63e4546cd9a793ac61f641b48e27009b38bf2128a52274554ef,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_factorial_cell_summary.csv,de52e5e48d1876528682ea838c67f662e9eaab504123dce223b730fab8119d23,de52e5e48d1876528682ea838c67f662e9eaab504123dce223b730fab8119d23,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_factorial_design.csv,b590162dcbd7c8ad240edcde68602206df284d7eadc3cb3a92ff50ce74a9ec4d,b590162dcbd7c8ad240edcde68602206df284d7eadc3cb3a92ff50ce74a9ec4d,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_factorial_effect_summary.csv,b560898f7cd3d08f17ddb5cf1f375fcca5d5cec3801cca3115438b6d9ad855d8,b560898f7cd3d08f17ddb5cf1f375fcca5d5cec3801cca3115438b6d9ad855d8,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_factorial_oriented_effect_matrix.csv,d7a3d5dda9717dd9bcd636aed7e3f80ca5d670f9460e4d8639630863a2072d51,d7a3d5dda9717dd9bcd636aed7e3f80ca5d670f9460e4d8639630863a2072d51,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_factorial_reconstruction_check.csv,eb3485f9a5d58e00fb5c4bcb63091142063a05986620887a4070a023e2431864,eb3485f9a5d58e00fb5c4bcb63091142063a05986620887a4070a023e2431864,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_factorial_sample_effects.csv,33e519b8d5a8b28111a06a27aaec625dc9cbc07bc7e1ad2d2f4bc9cd2865d844,33e519b8d5a8b28111a06a27aaec625dc9cbc07bc7e1ad2d2f4bc9cd2865d844,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_scaffold_crit_e2_design.csv,0e7d2b1fc7f800aa9eceefb527b8ff582bd225ea779e636d559705217227e3e9,0e7d2b1fc7f800aa9eceefb527b8ff582bd225ea779e636d559705217227e3e9,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_scaffold_crit_e2_effect_summary.csv,d533e44446779f9f56db9eaf2873ab89091c28208ea944e2251d671336a0b505,d533e44446779f9f56db9eaf2873ab89091c28208ea944e2251d671336a0b505,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_scaffold_crit_e2_oriented_effect_matrix.csv,8351720e230fd72ca0475285ddbe51cc64b2b1e7361d2fbc730ad3a95b9b1d6d,8351720e230fd72ca0475285ddbe51cc64b2b1e7361d2fbc730ad3a95b9b1d6d,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_scaffold_crit_e2_reconstruction_check.csv,5befdd390cd5c855b5881204999dc54c6328d7eb8391f037a414c833d36da572,5befdd390cd5c855b5881204999dc54c6328d7eb8391f037a414c833d36da572,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/b_scaffold_crit_e2_sample_effects.csv,55c3d5310c7409b42490f0b5ebc3decc325cdf08ef703dca669fa717837b42a1,55c3d5310c7409b42490f0b5ebc3decc325cdf08ef703dca669fa717837b42a1,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/grad_scaffold_levelset_e2_design.csv,4394257537b11b6d2fc409b6b354875fdb7bd457f73217e09c8dee1a36c4eec5,4394257537b11b6d2fc409b6b354875fdb7bd457f73217e09c8dee1a36c4eec5,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/grad_scaffold_levelset_e2_effect_summary.csv,63cdf11489ba79cd59b5aa5c2fe55a3cfa3a9ce0048f8ca13e4eb5bb70e9772b,63cdf11489ba79cd59b5aa5c2fe55a3cfa3a9ce0048f8ca13e4eb5bb70e9772b,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/grad_scaffold_levelset_e2_oriented_effect_matrix.csv,8457c56a19a1f4a7f06af14d2fe11904198b875d7623475ce81bf3a49547a9e6,8457c56a19a1f4a7f06af14d2fe11904198b875d7623475ce81bf3a49547a9e6,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/grad_scaffold_levelset_e2_reconstruction_check.csv,54b5ce80f72633932e87058c74889b81f6f73fd330617870b688a6881cc352c9,54b5ce80f72633932e87058c74889b81f6f73fd330617870b688a6881cc352c9,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/grad_scaffold_levelset_e2_sample_effects.csv,c94be688157246769cc5c6e976b50caa080a7b821ed771ae7e9c05e899ec2b67,c94be688157246769cc5c6e976b50caa080a7b821ed771ae7e9c05e899ec2b67,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/phase2b_multiple_testing_adjusted.csv,4ca99e6a75ca6718f15734f6dcccf873a3b3e309bab0ae6f74561c7c3f6c4b3c,4ca99e6a75ca6718f15734f6dcccf873a3b3e309bab0ae6f74561c7c3f6c4b3c,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/phase2b_validation.csv,fff2a34e987420d23349f2392c9b49d6f79395db50e8f2c5c0e980e7e3f80dca,fff2a34e987420d23349f2392c9b49d6f79395db50e8f2c5c0e980e7e3f80dca,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/prior_phase_immutability_check.csv,3bcb585d24cad7747c7bbe50e8ab70d4d5918afbe78e65d12108ff899e01a791,3bcb585d24cad7747c7bbe50e8ab70d4d5918afbe78e65d12108ff899e01a791,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/targeted_contrast_manifest.csv,1a0b014db08223a72ed922a25ddcb71f4e5e415ec228c872921808c6c57012c7,1a0b014db08223a72ed922a25ddcb71f4e5e415ec228c872921808c6c57012c7,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/targeted_contrast_oriented_effect_matrix.csv,b90869787cae5d888309fed47b86d0e5c710d0feb566c89543781e8c97ed24a2,b90869787cae5d888309fed47b86d0e5c710d0feb566c89543781e8c97ed24a2,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/targeted_contrast_per_sample.csv,67bd59b233a93a59ff38901784dbf78c9124defe88e80af7989b531dd6a48132,67bd59b233a93a59ff38901784dbf78c9124defe88e80af7989b531dd6a48132,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/targeted_contrast_summary.csv,6ba0d0e82c8cfc4d539b02c961458d979878a84d311b5748f9cd7436d49cb1f6,6ba0d0e82c8cfc4d539b02c961458d979878a84d311b5748f9cd7436d49cb1f6,unchanged
phase2b,ttk_runs_fixed/unified_candidate_analysis/phase2b/topology_factorial_and_contrast_summary.csv,0abe7ddeaef595f550d354d6e3a088d954f2af53bfaf482e98c5b70e891618a0,0abe7ddeaef595f550d354d6e3a088d954f2af53bfaf482e98c5b70e891618a0,unchanged
phase1,ttk_runs_fixed/unified_candidate_evaluation/column_mapping.csv,b17c74d7b39509e8d305faa8c8a6c4a22ca063c14f12b8668947f3b436f72816,b17c74d7b39509e8d305faa8c8a6c4a22ca063c14f12b8668947f3b436f72816,unchanged
phase1,ttk_runs_fixed/unified_candidate_evaluation/method_inventory.csv,4e34c13c2519be08e3237f62ca0d8dca597dc3943d00e848b232d2a77387025f,4e34c13c2519be08e3237f62ca0d8dca597dc3943d00e848b232d2a77387025f,unchanged
phase1,ttk_runs_fixed/unified_candidate_evaluation/unified_primary_method_summary.csv,9aefb78dbfe1239d8a8781622254999c9e1bb72ec872f328bfdbf500c2758f84,9aefb78dbfe1239d8a8781622254999c9e1bb72ec872f328bfdbf500c2758f84,unchanged
phase1,ttk_runs_fixed/unified_candidate_evaluation/unified_primary_missingness.csv,3648211d066ca670564658dba4e83fac628a890e40e16b6e87109d62abb3cb87,3648211d066ca670564658dba4e83fac628a890e40e16b6e87109d62abb3cb87,unchanged
phase1,ttk_runs_fixed/unified_candidate_evaluation/unified_primary_pairwise_vs_cnn.csv,f6da687e5f1b41d11083943b02319c752d11278d8de981a61ec3aeda0aa68a92,f6da687e5f1b41d11083943b02319c752d11278d8de981a61ec3aeda0aa68a92,unchanged
phase1,ttk_runs_fixed/unified_candidate_evaluation/unified_primary_per_sample_long.csv,0c70abb05fc76f41651bbb66e1090fb1cd7ac310a5b8e6446f78c69a6427e7f1,0c70abb05fc76f41651bbb66e1090fb1cd7ac310a5b8e6446f78c69a6427e7f1,unchanged
phase1,ttk_runs_fixed/unified_candidate_evaluation/unified_primary_topology_validation.csv,a72ca767caf20acecd32e9168d2dcc40dfa2d909912669bfdb65792b7ecb4bc1,a72ca767caf20acecd32e9168d2dcc40dfa2d909912669bfdb65792b7ecb4bc1,unchanged
phase1,ttk_runs_fixed/unified_candidate_evaluation/unified_primary_wide.csv,a794e2ac78efc1af6498b1bb39934d93d9c4bdb9f78f0479b693e773895ce4b2,a794e2ac78efc1af6498b1bb39934d93d9c4bdb9f78f0479b693e773895ce4b2,unchanged
