metric_a,metric_b,method_level_oriented_pearson,within_method_median_oriented_pearson,samplewise_median_oriented_pearson,two_way_residual_oriented_pearson,all_levels_defined,consistent_nonzero_sign
speed_rmse,comp_abs_t15,0.10487745862531411,0.844304135122521,0.0621095792024997,-0.12233101693708466,True,False
speed_rmse,pd_distance,-0.3975373182370351,0.793044846766048,-0.3882774958191173,-0.16970876663830087,True,False
speed_rmse,mt_distance,0.6975998547434588,0.29565105983412643,0.49146611534445483,0.2901275739778767,True,True
wpd_mae,wpd_w1,0.7496801239099253,0.8823944201859918,0.68627789682335,0.5960062779039806,True,True
wpd_mae,wpd_bias_abs,0.8092001906989118,0.8220274972513443,0.6960618524689084,0.5596219196395326,True,True
wpd_mae,grad_mae,0.7578222868602797,0.8101672757484393,0.7440672273372849,0.33996633468949317,True,True
wpd_mae,grad_w1,-0.5526008250673272,0.7004781581677868,-0.5549692520064262,-0.26347306913772617,True,False
wpd_mae,grad_kurtosis_abs_delta,-0.0568283739952035,-0.13298282844618245,-0.0005336571624523608,-0.0625754467039571,True,True
wpd_mae,psd_log_l2,-0.6736352964595625,0.5560961797450091,-0.6950289541207256,-0.16485163889807164,True,False
wpd_mae,psd_slope_abs_delta,-0.6458057350336762,0.07895897231989263,-0.6666420362625474,-0.06353876672461342,True,False
wpd_mae,exceed_abs_t5,0.13073347984680742,0.13047536551862177,0.0606432329798958,-0.16933647136783875,True,False
wpd_mae,exceed_abs_t10,0.8463939732904343,-0.2361734509046513,0.677590991826154,0.47395119597615404,True,False
wpd_mae,exceed_abs_t15,0.6605613079212926,0.6193068852765804,0.44618905478031595,0.4999851122854863,True,True
wpd_mae,exceed_abs_p90,0.6181725246405111,0.16898789854210747,0.5177977975433523,0.09003118809436154,True,True
wpd_mae,comp_curve_l1,-0.06215477591146673,0.1289740612115071,-0.034386467821893384,0.3066707712563358,True,False
wpd_mae,comp_abs_t5,-0.7152237749997149,-0.6204977418130505,-0.6339518059444105,0.35132988190808284,True,False
wpd_mae,comp_abs_t10,-0.695510457182094,0.04646355011539769,-0.6754414103308286,-0.031662726014008304,True,False
wpd_mae,comp_abs_t15,0.12646888702009507,0.8053141183669682,0.07101495835164198,0.021642358677584513,True,True
wpd_mae,pd_distance,-0.3839888465672411,0.809035044505237,-0.37804390783310926,-0.15640762454169385,True,False
wpd_mae,mt_distance,0.7379361784694122,0.25244856577281466,0.5221278708262713,0.3233009063054191,True,True
wpd_w1,wpd_bias_abs,0.9841160789719786,0.9706762694185663,0.9650466031242283,0.9492767533478859,True,True
wpd_w1,grad_mae,0.9223237655359189,0.7766993079741337,0.8083012234560234,0.46610796023131296,True,True
wpd_w1,grad_w1,-0.03712233540902047,0.743076053274391,0.07858425740290417,0.09249013369916206,True,False
wpd_w1,grad_kurtosis_abs_delta,0.4062168341721318,-0.099328468265325,0.20409359318515202,-0.07044406740692809,True,False
wpd_w1,psd_log_l2,-0.12405989967354107,0.4893719680116605,-0.10644516662288078,-0.09507335400245388,True,False
wpd_w1,psd_slope_abs_delta,-0.11913304066178647,0.1504497421362312,-0.14991541485907656,-0.11057492945788075,True,False
wpd_w1,exceed_abs_t5,0.6504215984223997,0.2892556857901841,0.5391526959856203,0.18984472824337575,True,True
wpd_w1,exceed_abs_t10,0.8966728658682287,0.00408033754705009,0.843101692484169,0.6138446721637987,True,True
wpd_w1,exceed_abs_t15,0.9746335587940201,0.7986576477230759,0.9089940418326629,0.8687016803656964,True,True
wpd_w1,exceed_abs_p90,0.9361592021481928,0.43688429174064,0.9063020855670771,0.5603292262059789,True,True
wpd_w1,comp_curve_l1,0.5267545393229642,0.26328622116521583,0.49416353097318066,0.2908554694928639,True,True
wpd_w1,comp_abs_t5,-0.3078124532919356,-0.48177853628917755,-0.10315523866690637,0.08936098669839893,True,False
wpd_w1,comp_abs_t10,-0.21621820348635318,0.04046869524621467,-0.03884165593338265,-0.08720976821449819,True,False
wpd_w1,comp_abs_t15,0.6777999835343843,0.7634108668095058,0.5307784923474403,0.1574304171420898,True,True
wpd_w1,pd_distance,-0.023436292433035362,0.7343859115725744,0.05769680115122869,0.037671471734142536,True,False
wpd_w1,mt_distance,0.8602388739873718,0.2928479924113385,0.4847313149753824,0.3405140413015614,True,True
wpd_bias_abs,grad_mae,0.8761181710081376,0.660096172632153,0.7387032112648928,0.3586893540621342,True,True
wpd_bias_abs,grad_w1,-0.1900538250059181,0.6354987496786282,-0.10379705977726152,-0.010236372321905895,True,False
wpd_bias_abs,grad_kurtosis_abs_delta,0.2915234711222361,-0.05911918216832972,0.13468637364745897,-0.03710546314731153,True,False
wpd_bias_abs,psd_log_l2,-0.2652071817862302,0.4641741399265489,-0.22821126519889423,-0.17302162603848414,True,False
wpd_bias_abs,psd_slope_abs_delta,-0.20289869553032272,0.17371299486695102,-0.21696060029313494,-0.1714863693191801,True,False
wpd_bias_abs,exceed_abs_t5,0.5479307816782981,0.26946148207458676,0.3857557029794375,0.09884353196050465,True,True
wpd_bias_abs,exceed_abs_t10,0.9318510004784812,0.042335954051309604,0.8242458241240951,0.6336449084691942,True,True
wpd_bias_abs,exceed_abs_t15,0.9376328640802929,0.7737102802031496,0.8417601090010389,0.8147043902899914,True,True
wpd_bias_abs,exceed_abs_p90,0.8944839931532166,0.4123052604299716,0.8697066848006105,0.5678039551605284,True,True
wpd_bias_abs,comp_curve_l1,0.3830360772673129,0.23911903202470391,0.3603400019023928,0.1987517783697735,True,True
wpd_bias_abs,comp_abs_t5,-0.4449279014521295,-0.4127938844224566,-0.13272248530489916,0.11546603023034249,True,False
wpd_bias_abs,comp_abs_t10,-0.36159628405251437,0.015146772319259262,-0.136011351512768,-0.06476197697926332,True,False
wpd_bias_abs,comp_abs_t15,0.5501447969222127,0.6955701871376524,0.356708187219863,0.051843466837153594,True,True
wpd_bias_abs,pd_distance,-0.12674160518400546,0.6408029284722424,-0.03981456545658821,-0.031630916312635746,True,False
wpd_bias_abs,mt_distance,0.8608192437691804,0.26768515402099263,0.4321723841252529,0.3482285716490496,True,True
grad_mae,grad_w1,0.08779278359453471,0.9657254771978174,0.09014069591739408,0.6086746080538589,True,True
grad_mae,grad_kurtosis_abs_delta,0.5090016420571946,-0.3046833420405121,0.3179987009274088,-0.11707435229003926,True,False
grad_mae,psd_log_l2,-0.03369984402123759,0.6959077839564539,-0.028598498028900944,0.1940453778990288,True,False
grad_mae,psd_slope_abs_delta,-0.17223613383513223,0.207343974499457,-0.17355502760455574,0.020811001364096193,True,False
grad_mae,exceed_abs_t5,0.6101916580957433,0.3863690589395587,0.5298352388466,0.37767354607309883,True,True
grad_mae,exceed_abs_t10,0.7894482629650317,0.022694453638061877,0.6539564224040073,0.10622923555700993,True,True
