metric,psnruv,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
psd_slope_abs_delta,-0.1866387452186972,-0.23770264277363196,-0.19805049194852473,-0.06353876672461342,-0.11057492945788075,-0.1714863693191801,0.020811001364096193,0.2086659810286973,-0.008410476193775263,0.5449396549857314,1.0,-0.041115580616268126,-0.2751846407042281,-0.034758636720710105,-0.1678548614762524,0.1777735127797188,-0.018836190421236715,0.007744785492355962,0.19705899323977036,-0.0321091064782046,-0.005741168070301925
exceed_abs_t5,0.12941246121834094,-0.1156011009631866,-0.1388939571135034,-0.16933647136783875,0.18984472824337575,0.09884353196050465,0.37767354607309883,0.46406571615959047,-0.10655413060693156,0.17749716105457203,-0.041115580616268126,1.0,0.01708979354258599,0.14831727758145893,0.2632214931681346,0.17313188753725398,-0.35656132852556843,0.11886108256641549,0.2473825447535445,0.24272589068109007,-0.04039947804648667
exceed_abs_t10,0.01749827494155074,0.44902198107338837,0.4287032620216347,0.47395119597615404,0.6138446721637987,0.6336449084691942,0.10622923555700993,-0.2504951469053383,-0.0437143427379543,-0.25647130460382467,-0.2751846407042281,0.01708979354258599,1.0,0.3464432190476629,0.29134056300723055,0.110286882805486,0.174793548919303,-0.023028649985453516,-0.08421656522487081,-0.05767453999150549,0.24067361883994734
exceed_abs_t15,0.005926295873091359,0.41934942592742436,0.38883584246831937,0.4999851122854863,0.8687016803656964,0.8147043902899914,0.4482080996478746,0.1513516629705103,-0.06766612160793575,-0.04580492738320215,-0.034758636720710105,0.14831727758145893,0.3464432190476629,1.0,0.5155886054532803,0.3063321051178215,0.09510123849994344,-0.09035467820334284,0.20780255392922647,0.04654272206190594,0.3285565683895289
exceed_abs_p90,-0.15374468233452038,0.14956488456928366,0.03255241372864833,0.09003118809436154,0.5603292262059789,0.5678039551605284,0.4000267431912921,0.24682883400271868,-0.07535651326266829,-0.040159901462100654,-0.1678548614762524,0.2632214931681346,0.29134056300723055,0.5155886054532803,1.0,0.14611673840234282,-0.08907076918930268,-0.030367777393845448,0.048268580996450705,0.07568761024825937,0.047126676552207286
comp_curve_l1,0.18030245568951522,0.07147893903247897,0.056139879876757774,0.3066707712563358,0.2908554694928639,0.1987517783697735,0.4943624422050798,0.4548065820408818,-0.02259895259118499,0.37319337407905373,0.1777735127797188,0.17313188753725398,0.110286882805486,0.3063321051178215,0.14611673840234282,1.0,0.33322536870772435,0.13442381346005408,0.7272464436805458,0.16123477225401298,0.17161293325274565
comp_abs_t5,0.05875174720902386,0.20637718363085938,0.20633653166343918,0.35132988190808284,0.08936098669839893,0.11546603023034249,0.005153302762817703,-0.15374257813475517,0.01372027527795014,-0.07049470659495155,-0.018836190421236715,-0.35656132852556843,0.174793548919303,0.09510123849994344,-0.08907076918930268,0.33322536870772435,1.0,-0.04721000225436423,-0.004463396107954145,-0.07486597722582092,0.21360050695683766
comp_abs_t10,0.07785799942191411,-0.06574897179402919,-0.05475477048274807,-0.031662726014008304,-0.08720976821449819,-0.06476197697926332,0.13092321115144354,0.21683225746521104,-0.00799516651802564,-0.046854606507586875,0.007744785492355962,0.11886108256641549,-0.023028649985453516,-0.09035467820334284,-0.030367777393845448,0.13442381346005408,-0.04721000225436423,1.0,-0.17224745816841594,0.034307683641624225,0.06196509558654626
comp_abs_t15,0.11547166017391779,-0.0992935540167836,-0.12233101693708466,0.021642358677584513,0.1574304171420898,0.051843466837153594,0.3929307670138625,0.5002140346756728,-0.0027584228891665064,0.5017325133065054,0.19705899323977036,0.2473825447535445,-0.08421656522487081,0.20780255392922647,0.048268580996450705,0.7272464436805458,-0.004463396107954145,-0.17224745816841594,1.0,0.19309283374840197,-0.032165802092982074
pd_distance,0.00695140234122161,-0.17720795917113066,-0.16970876663830087,-0.15640762454169385,0.037671471734142536,-0.031630916312635746,0.2398332395425237,0.37865245032983547,-0.1536252773892512,0.2417265698703633,-0.0321091064782046,0.24272589068109007,-0.05767453999150549,0.04654272206190594,0.07568761024825937,0.16123477225401298,-0.07486597722582092,0.034307683641624225,0.19309283374840197,1.0,0.052590399657155736
mt_distance,0.11614483263057454,0.20909026679942347,0.2901275739778767,0.3233009063054191,0.3405140413015614,0.3482285716490496,0.19017016823571306,0.017878357889782186,0.04072600529972824,-0.13691010456682942,-0.005741168070301925,-0.04039947804648667,0.24067361883994734,0.3285565683895289,0.047126676552207286,0.17161293325274565,0.21360050695683766,0.06196509558654626,-0.032165802092982074,0.052590399657155736,1.0
