sample_idx,metric_a,metric_b,n_methods,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,interpretation_level
14,wpd_bias_abs,comp_curve_l1,19,0.16098551511363152,0.39648447406098986,0.16098551511363152,0.39648447406098986,within_sample_across_methods
14,wpd_bias_abs,comp_abs_t5,19,0.4836305320099951,0.4846103060563587,0.4836305320099951,0.4846103060563587,within_sample_across_methods
14,wpd_bias_abs,comp_abs_t10,19,0.344424469538496,0.5413013631996769,0.344424469538496,0.5413013631996769,within_sample_across_methods
14,wpd_bias_abs,comp_abs_t15,19,0.17504758984029067,0.443859649122807,0.17504758984029067,0.443859649122807,within_sample_across_methods
14,wpd_bias_abs,pd_distance,18,0.3366648836008893,0.2982456140350877,0.3366648836008893,0.2982456140350877,within_sample_across_methods
14,wpd_bias_abs,mt_distance,18,-0.18962846315248616,-0.15376676986584106,-0.18962846315248616,-0.15376676986584106,within_sample_across_methods
14,grad_mae,grad_w1,19,0.0026814520465018505,0.39649122807017545,0.0026814520465018505,0.39649122807017545,within_sample_across_methods
14,grad_mae,grad_kurtosis_abs_delta,19,0.2996359110095236,0.41578947368421054,0.2996359110095236,0.41578947368421054,within_sample_across_methods
14,grad_mae,psd_log_l2,19,-0.00825473440919551,0.15087719298245614,-0.00825473440919551,0.15087719298245614,within_sample_across_methods
14,grad_mae,psd_slope_abs_delta,19,0.17589297249073985,0.028070175438596492,0.17589297249073985,0.028070175438596492,within_sample_across_methods
14,grad_mae,exceed_abs_t5,19,0.6366591857446858,0.5684210526315789,0.6366591857446858,0.5684210526315789,within_sample_across_methods
14,grad_mae,exceed_abs_t10,19,0.5809367372053265,0.631578947368421,0.5809367372053265,0.631578947368421,within_sample_across_methods
14,grad_mae,exceed_abs_t15,19,0.23366586743892923,0.2641509688254783,0.23366586743892923,0.2641509688254783,within_sample_across_methods
14,grad_mae,exceed_abs_p90,19,0.36951540727664756,0.3929824561403509,0.36951540727664756,0.3929824561403509,within_sample_across_methods
14,grad_mae,comp_curve_l1,19,0.861787634178897,0.706814893891432,0.861787634178897,0.706814893891432,within_sample_across_methods
14,grad_mae,comp_abs_t5,19,-0.11496463559415547,0.4784537322952071,-0.11496463559415547,0.4784537322952071,within_sample_across_methods
14,grad_mae,comp_abs_t10,19,-0.02008808410747539,0.26889320964139796,-0.02008808410747539,0.26889320964139796,within_sample_across_methods
14,grad_mae,comp_abs_t15,19,0.8750319299582648,0.724561403508772,0.8750319299582648,0.724561403508772,within_sample_across_methods
14,grad_mae,pd_distance,18,0.026131666560247842,0.5830753353973168,0.026131666560247842,0.5830753353973168,within_sample_across_methods
14,grad_mae,mt_distance,18,0.4177578788220119,-0.13312693498452013,0.4177578788220119,-0.13312693498452013,within_sample_across_methods
14,grad_w1,grad_kurtosis_abs_delta,19,0.5784905451848984,0.3192982456140351,0.5784905451848984,0.3192982456140351,within_sample_across_methods
14,grad_w1,psd_log_l2,19,0.8967568670144325,0.7964912280701755,0.8967568670144325,0.7964912280701755,within_sample_across_methods
14,grad_w1,psd_slope_abs_delta,19,0.44136385499827474,0.47192982456140353,0.44136385499827474,0.47192982456140353,within_sample_across_methods
14,grad_w1,exceed_abs_t5,19,-0.34594096919996664,0.008771929824561403,-0.34594096919996664,0.008771929824561403,within_sample_across_methods
14,grad_w1,exceed_abs_t10,19,0.5226819043496398,0.6771929824561403,0.5226819043496398,0.6771929824561403,within_sample_across_methods
14,grad_w1,exceed_abs_t15,19,-0.0232883581392022,0.29574377572819327,-0.0232883581392022,0.29574377572819327,within_sample_across_methods
14,grad_w1,exceed_abs_p90,19,0.16849231465757467,0.3333333333333333,0.16849231465757467,0.3333333333333333,within_sample_across_methods
14,grad_w1,comp_curve_l1,19,0.19945972600310968,0.6716499737973309,0.19945972600310968,0.6716499737973309,within_sample_across_methods
14,grad_w1,comp_abs_t5,19,0.9184186095678522,0.7203191300547328,0.9184186095678522,0.7203191300547328,within_sample_across_methods
14,grad_w1,comp_abs_t10,19,0.9475562374108215,0.8769785072618143,0.9475562374108215,0.8769785072618143,within_sample_across_methods
14,grad_w1,comp_abs_t15,19,0.17159811662026694,0.6807017543859649,0.17159811662026694,0.6807017543859649,within_sample_across_methods
14,grad_w1,pd_distance,18,0.772546513643694,0.6099071207430341,0.772546513643694,0.6099071207430341,within_sample_across_methods
14,grad_w1,mt_distance,18,-0.41744263409725707,-0.0608875128998968,-0.41744263409725707,-0.0608875128998968,within_sample_across_methods
14,grad_kurtosis_abs_delta,psd_log_l2,19,0.7429471912664728,0.5578947368421052,0.7429471912664728,0.5578947368421052,within_sample_across_methods
14,grad_kurtosis_abs_delta,psd_slope_abs_delta,19,0.6106512126431533,0.5333333333333333,0.6106512126431533,0.5333333333333333,within_sample_across_methods
14,grad_kurtosis_abs_delta,exceed_abs_t5,19,0.25246382497252673,0.5526315789473685,0.25246382497252673,0.5526315789473685,within_sample_across_methods
14,grad_kurtosis_abs_delta,exceed_abs_t10,19,0.3195171418330014,0.3087719298245614,0.3195171418330014,0.3087719298245614,within_sample_across_methods
14,grad_kurtosis_abs_delta,exceed_abs_t15,19,-0.07867113547666543,0.10092146649478405,-0.07867113547666543,0.10092146649478405,within_sample_across_methods
14,grad_kurtosis_abs_delta,exceed_abs_p90,19,-0.11966496058369705,-0.08421052631578947,-0.11966496058369705,-0.08421052631578947,within_sample_across_methods
14,grad_kurtosis_abs_delta,comp_curve_l1,19,0.43319004406265144,0.3727481529974716,0.43319004406265144,0.3727481529974716,within_sample_across_methods
14,grad_kurtosis_abs_delta,comp_abs_t5,19,0.5670173794141086,0.4432733108029125,0.5670173794141086,0.4432733108029125,within_sample_across_methods
14,grad_kurtosis_abs_delta,comp_abs_t10,19,0.6545593599427053,0.5008795081555452,0.6545593599427053,0.5008795081555452,within_sample_across_methods
14,grad_kurtosis_abs_delta,comp_abs_t15,19,0.39770098231720474,0.32456140350877194,0.39770098231720474,0.32456140350877194,within_sample_across_methods
14,grad_kurtosis_abs_delta,pd_distance,18,0.677387374481333,0.45098039215686275,0.677387374481333,0.45098039215686275,within_sample_across_methods
14,grad_kurtosis_abs_delta,mt_distance,18,-0.4267879330845378,-0.33746130030959753,-0.4267879330845378,-0.33746130030959753,within_sample_across_methods
14,psd_log_l2,psd_slope_abs_delta,19,0.7053532673994539,0.7210526315789474,0.7053532673994539,0.7210526315789474,within_sample_across_methods
14,psd_log_l2,exceed_abs_t5,19,-0.1875013507693267,0.10701754385964912,-0.1875013507693267,0.10701754385964912,within_sample_across_methods
14,psd_log_l2,exceed_abs_t10,19,0.38461134340276937,0.4245614035087719,0.38461134340276937,0.4245614035087719,within_sample_across_methods
14,psd_log_l2,exceed_abs_t15,19,-0.11362414919560003,0.1404124751231778,-0.11362414919560003,0.1404124751231778,within_sample_across_methods
14,psd_log_l2,exceed_abs_p90,19,-0.07295589924457074,0.08596491228070176,-0.07295589924457074,0.08596491228070176,within_sample_across_methods
14,psd_log_l2,comp_curve_l1,19,0.2633488930562748,0.530111170418574,0.2633488930562748,0.530111170418574,within_sample_across_methods
14,psd_log_l2,comp_abs_t5,19,0.7771222623012218,0.5532121279663332,0.7771222623012218,0.5532121279663332,within_sample_across_methods
14,psd_log_l2,comp_abs_t10,19,0.945541626300137,0.8664336755111712,0.945541626300137,0.8664336755111712,within_sample_across_methods
14,psd_log_l2,comp_abs_t15,19,0.2244766950500445,0.48596491228070177,0.2244766950500445,0.48596491228070177,within_sample_across_methods
14,psd_log_l2,pd_distance,18,0.6819257525466857,0.5046439628482973,0.6819257525466857,0.5046439628482973,within_sample_across_methods
14,psd_log_l2,mt_distance,18,-0.35371599286419675,-0.11661506707946337,-0.35371599286419675,-0.11661506707946337,within_sample_across_methods
14,psd_slope_abs_delta,exceed_abs_t5,19,0.06345965218702672,0.17894736842105263,0.06345965218702672,0.17894736842105263,within_sample_across_methods
14,psd_slope_abs_delta,exceed_abs_t10,19,0.2984607708361801,0.45087719298245615,0.2984607708361801,0.45087719298245615,within_sample_across_methods
14,psd_slope_abs_delta,exceed_abs_t15,19,0.14510852018370934,0.2202720703494852,0.14510852018370934,0.2202720703494852,within_sample_across_methods
14,psd_slope_abs_delta,exceed_abs_p90,19,-0.12795933328095901,0.08421052631578947,-0.12795933328095901,0.08421052631578947,within_sample_across_methods
14,psd_slope_abs_delta,comp_curve_l1,19,0.38867108252953053,0.48967151231035777,0.38867108252953053,0.48967151231035777,within_sample_across_methods
14,psd_slope_abs_delta,comp_abs_t5,19,0.2672287086271498,0.2453834399087551,0.2672287086271498,0.2453834399087551,within_sample_across_methods
14,psd_slope_abs_delta,comp_abs_t10,19,0.5646749955145316,0.5500887229918795,0.5646749955145316,0.5500887229918795,within_sample_across_methods
