method_id,metric_a,metric_b,correlation_type,observed_correlation,iid_ci95_low,iid_ci95_high,block6_ci95_low,block6_ci95_high,block12_ci95_low,block12_ci95_high,block24_ci95_low,block24_ci95_high,iid_sign,block6_sign,block12_sign,block24_sign,all_interval_signs_agree
candidate_b,pd_distance,psd_log_l2,pearson,0.5810925075018356,0.49530709991779015,0.6604805241814595,0.4160049294232248,0.7248813420315494,0.36214423155449543,0.7506306864286973,0.33140527120041363,0.7609442052771446,positive,positive,positive,positive,True
candidate_b,pd_distance,psd_log_l2,spearman,0.6038742464352782,0.501404552006071,0.6916951000450295,0.38240994687425756,0.7533684207381415,0.3329699902287672,0.7788440980911739,0.3151765930341401,0.7806347739733789,positive,positive,positive,positive,True
candidate_b,pd_distance,exceed_abs_p90,pearson,0.18935604060115407,0.08195735901233737,0.2891329988219443,-0.012315079801813667,0.41012414158205135,-0.030421731872057534,0.4735454816714143,-0.013874783012022919,0.5202986832507472,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,pd_distance,exceed_abs_p90,spearman,0.24523136281879623,0.10680059093946945,0.3639951725455423,-0.0015919095598863776,0.4964980788020146,-0.0457132795458325,0.5306145454584345,-0.03586521776207868,0.5752872033901938,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,pd_distance,comp_curve_l1,pearson,0.17671179401847809,0.08220247433179355,0.2646865982294575,-0.012991593781165043,0.3770819506451967,-0.047222806111006786,0.4345697833094187,-0.016162495404644227,0.5174343895449928,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,pd_distance,comp_curve_l1,spearman,0.23113528384712198,0.09874100084502743,0.3501565422165708,-0.01913062965926299,0.4905368800831762,-0.06318619514700782,0.5308354334753366,-0.039860792845663656,0.5848890661176305,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,mt_distance,psnruv,pearson,-0.21895137621940347,-0.34013692698839987,-0.09727146884617373,-0.4264221888945601,-0.003930130868492961,-0.4554507561073603,0.048631423361039774,-0.4637360196013424,0.10373245214721268,negative,negative,includes_zero,includes_zero,False
candidate_b,mt_distance,psnruv,spearman,-0.23350509462900065,-0.36973603200702837,-0.08763564929953142,-0.45737284106903403,0.01984396712029234,-0.48714854661350226,0.08029618743410315,-0.5035498714625758,0.148396953971932,negative,includes_zero,includes_zero,includes_zero,False
candidate_b,mt_distance,speed_mae,pearson,0.24921215182952075,0.11119243190741958,0.37608742423029906,-0.018665376608969348,0.4665888229429399,-0.06457500922799267,0.4928217727804288,-0.08680242909130345,0.4765115649484895,positive,includes_zero,includes_zero,includes_zero,False
candidate_b,mt_distance,speed_mae,spearman,0.22321966380004152,0.06516993934851906,0.3683075673372869,-0.05750412545949048,0.4663717917490011,-0.08607862098120544,0.5065745388110097,-0.11584530829687345,0.5102918755608463,positive,includes_zero,includes_zero,includes_zero,False
