metric_a,metric_b,n_methods_available,pearson_median,pearson_q25,pearson_q75,pearson_min,pearson_max,pearson_n_positive,pearson_n_negative,spearman_median,spearman_q25,spearman_q75,spearman_min,spearman_max,spearman_n_positive,spearman_n_negative,interpretation_level
psnruv,exceed_abs_t15,19,0.24043168674562151,0.12197877193329126,0.38176549836644336,-0.08968925872848621,0.5808850069611865,17,2,0.2582824154833806,0.1911918335429153,0.3916723136603616,-0.07317617924097013,0.6339611563010918,17,2,within_method_across_samples
psnruv,exceed_abs_p90,19,0.5748839627529837,0.3310998516412149,0.7337501627696381,-0.19153827256529884,0.7786923138688026,18,1,0.5217452925760299,0.3006042231236675,0.6749820516866304,-0.15429850254425864,0.7745455833894341,18,1,within_method_across_samples
psnruv,comp_curve_l1,19,0.7393620787536913,0.7039194474026071,0.7766335049174546,0.2291734019419169,0.7905918539666943,19,0,0.6971806612982586,0.6454858184538788,0.7299446527250951,0.18842056977179258,0.7473523699131299,19,0,within_method_across_samples
psnruv,comp_abs_t5,19,0.020231982960524145,0.005583483050678438,0.03659295570049374,-0.2818158844619823,0.06293658083066118,16,3,0.010206780699748265,0.00811775764788982,0.015568111682123823,-0.15104140064123053,0.0545182671835526,16,3,within_method_across_samples
psnruv,comp_abs_t10,19,0.5298860894834315,0.4827164219077088,0.5588330949849633,0.37626644395674685,0.6651220789510094,19,0,0.48629789462918604,0.42974650306101914,0.5156439124499416,0.345733820308243,0.6622302520197886,19,0,within_method_across_samples
psnruv,comp_abs_t15,19,0.36573339014102474,0.33149456592192394,0.40395128635664546,0.09063387218112774,0.49076850931641297,19,0,0.362564241613013,0.3303645558033903,0.38125926127624143,0.04001946307123524,0.474847493427526,19,0,within_method_across_samples
psnruv,pd_distance,18,0.19405212727588497,0.0713196597637812,0.2276883642878978,-0.16342152429233156,0.27398996421056787,16,2,0.27377366990448515,0.12299365765510399,0.3091488198581704,-0.11502017098516408,0.34075551348697364,17,1,within_method_across_samples
psnruv,mt_distance,18,-0.1512034043645554,-0.24176957773526978,-0.049336237973062975,-0.4070029533486818,0.05650356281990544,4,14,-0.17920924963820428,-0.26308836258168367,-0.06618209059480362,-0.42853852734092257,0.010328455515005492,3,15,within_method_across_samples
speed_mae,speed_rmse,19,0.9590080628081589,0.9587527079493117,0.9605839549084408,0.9506008334788553,0.9689962923469433,19,0,0.9621306836875699,0.9610436776489286,0.9634973501855124,0.9534751292006013,0.9724414231553798,19,0,within_method_across_samples
speed_mae,wpd_mae,19,0.8456515278410884,0.8411668137528868,0.8465681937103742,0.8359304511124872,0.875566697220009,19,0,0.8189748988919878,0.8156113807887184,0.8210856393721433,0.8125920601738197,0.850271561694869,19,0,within_method_across_samples
speed_mae,wpd_w1,19,0.7601605167714363,0.644306205515675,0.8876435527353307,0.4690844508349769,0.9078047038695554,19,0,0.7963844078537768,0.6770022929626799,0.9027680058311105,0.43626778564595237,0.9190528494996482,19,0,within_method_across_samples
speed_mae,wpd_bias_abs,19,0.6988858342967995,0.5564251295953033,0.8662977770510267,0.23777113401820793,0.9117137876876314,19,0,0.7387794149655044,0.5313219714417319,0.8973848583475483,0.17476880558409807,0.9213280961323338,19,0,within_method_across_samples
speed_mae,grad_mae,19,0.9901022444836054,0.9886638016223799,0.9903071394226478,0.9613029922091235,0.9904998933056194,19,0,0.9856980881854213,0.9845098475913768,0.9868622855725573,0.9495801296814654,0.9885124088256285,19,0,within_method_across_samples
