method_id,metric_a,metric_b,n_samples,status,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,interpretation_level
uv_crit,wpd_bias_abs,comp_curve_l1,168,available,-0.2284333602511379,-0.2321112323905217,-0.2284333602511379,-0.2321112323905217,within_method_across_samples
uv_crit,wpd_bias_abs,comp_abs_t5,168,available,-0.467465418332895,-0.513591896278759,-0.467465418332895,-0.513591896278759,within_method_across_samples
uv_crit,wpd_bias_abs,comp_abs_t10,168,available,-0.07259826193673423,-0.1560566765002048,-0.07259826193673423,-0.1560566765002048,within_method_across_samples
uv_crit,wpd_bias_abs,comp_abs_t15,168,available,0.3282850644386515,0.396989872815167,0.3282850644386515,0.396989872815167,within_method_across_samples
uv_crit,wpd_bias_abs,pd_distance,168,available,0.2858414933897331,0.3450048339500205,0.2858414933897331,0.3450048339500205,within_method_across_samples
uv_crit,wpd_bias_abs,mt_distance,168,available,-0.1135418749611673,-0.15685028927774206,-0.1135418749611673,-0.15685028927774206,within_method_across_samples
uv_crit,grad_mae,grad_w1,168,available,0.9812421479664669,0.9779612372887362,0.9812421479664669,0.9779612372887362,within_method_across_samples
uv_crit,grad_mae,grad_kurtosis_abs_delta,168,available,-0.2336395856269856,-0.15245670957324572,-0.2336395856269856,-0.15245670957324572,within_method_across_samples
uv_crit,grad_mae,psd_log_l2,168,available,0.6936986236819684,0.7258365770572127,0.6936986236819684,0.7258365770572127,within_method_across_samples
uv_crit,grad_mae,psd_slope_abs_delta,168,available,0.22042082395780963,0.1884430631551774,0.22042082395780963,0.1884430631551774,within_method_across_samples
uv_crit,grad_mae,exceed_abs_t5,168,available,0.44995769412588094,0.43737278446462285,0.44995769412588094,0.43737278446462285,within_method_across_samples
uv_crit,grad_mae,exceed_abs_t10,168,available,0.6456827412115692,0.6706101794010505,0.6456827412115692,0.6706101794010505,within_method_across_samples
uv_crit,grad_mae,exceed_abs_t15,168,available,0.3768018926724608,0.39369384246762207,0.3768018926724608,0.39369384246762207,within_method_across_samples
