metric_a,metric_b,n_common_methods,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,loo_pearson_min,loo_pearson_max,loo_spearman_min,loo_spearman_max,pearson_sign_stable,spearman_sign_stable,interpretation_level
speed_mae,grad_w1,19,-0.5553524207033295,-0.5701754385964912,-0.5553524207033295,-0.5701754385964912,-0.721248319096837,-0.13465115071658948,-0.7997936016511867,-0.49432404540763675,True,True,between_method_means
speed_mae,grad_kurtosis_abs_delta,19,-0.0674030534367428,-0.17543859649122806,-0.0674030534367428,-0.17543859649122806,-0.20884979729513428,-0.0028025737206185657,-0.3560371517027864,-0.07739938080495357,True,True,between_method_means
speed_mae,psd_log_l2,19,-0.6753237919752384,-0.7298245614035088,-0.6753237919752384,-0.7298245614035088,-0.8686639934848266,-0.40740689477721903,-0.9669762641898865,-0.6821465428276574,True,True,between_method_means
speed_mae,psd_slope_abs_delta,19,-0.6558328796573981,-0.624561403508772,-0.6558328796573981,-0.624561403508772,-0.7749200360512898,-0.6006892586723309,-0.8390092879256966,-0.5603715170278638,True,True,between_method_means
speed_mae,exceed_abs_t5,19,0.10707756388892822,-0.3087719298245614,0.10707756388892822,-0.3087719298245614,-0.36809019951637056,0.1580726290992837,-0.5356037151702786,-0.26522187822497423,False,True,between_method_means
speed_mae,exceed_abs_t10,19,0.8309046043085883,0.13333333333333333,0.8309046043085883,0.13333333333333333,0.1938388952860185,0.8665757000276069,-0.0196078431372549,0.19091847265221878,True,False,between_method_means
speed_mae,exceed_abs_t15,19,0.6523146605684299,0.042105263157894736,0.6523146605684299,0.042105263157894736,0.22749368794142724,0.7016777934425129,-0.12693498452012383,0.10835913312693499,True,False,between_method_means
speed_mae,exceed_abs_p90,19,0.61298580502954,0.07719298245614035,0.61298580502954,0.07719298245614035,0.32819629408134976,0.6654114617384455,-0.08565531475748193,0.14963880288957687,True,False,between_method_means
speed_mae,comp_curve_l1,19,-0.07660543192800966,-0.43157894736842106,-0.07660543192800966,-0.43157894736842106,-0.291472354699559,-0.032606499860909875,-0.6573787409700722,-0.36429308565531476,True,True,between_method_means
speed_mae,comp_abs_t5,19,-0.7153898752232957,-0.5807017543859649,-0.7153898752232957,-0.5807017543859649,-0.8269219921503911,-0.185308663961952,-0.8101135190918473,-0.5067079463364293,True,True,between_method_means
speed_mae,comp_abs_t10,19,-0.6989095370710795,-0.6508771929824562,-0.6989095370710795,-0.6508771929824562,-0.8353553766059773,-0.3293127662762886,-0.8864809081527347,-0.5892672858617131,True,True,between_method_means
speed_mae,comp_abs_t15,19,0.11079184716033882,-0.2929824561403509,0.11079184716033882,-0.2929824561403509,-0.27327513742108955,0.159757512588667,-0.5170278637770898,-0.23839009287925697,False,True,between_method_means
speed_mae,pd_distance,18,-0.39341822543994437,-0.4613003095975232,-0.39341822543994437,-0.4613003095975232,-0.4924301140791197,-0.20177439400935826,-0.5220588235294118,-0.3602941176470588,True,True,between_method_means
speed_mae,mt_distance,18,0.7237580462717479,-0.29411764705882354,0.7237580462717479,-0.29411764705882354,-0.48619783824825324,0.7976297672500617,-0.5367647058823529,-0.22058823529411764,False,True,between_method_means
speed_rmse,wpd_mae,19,0.9946228263734102,0.9964912280701754,0.9946228263734102,0.9964912280701754,0.9867005273795095,0.9964964225522823,0.9958720330237358,0.9979360165118679,True,True,between_method_means
speed_rmse,wpd_w1,19,0.7275167204187074,0.03508771929824561,0.7275167204187074,0.03508771929824561,0.22447842811520136,0.7647980221447266,-0.13519091847265222,0.1001031991744066,True,False,between_method_means
speed_rmse,wpd_bias_abs,19,0.7876688588171536,0.20701754385964913,0.7876688588171536,0.20701754385964913,0.30326580570786066,0.8240230450141168,0.06707946336429309,0.29205366357069146,True,True,between_method_means
speed_rmse,grad_mae,19,0.761666964056435,0.07368421052631578,0.761666964056435,0.07368421052631578,0.4901047924068937,0.8280145682935572,-0.08978328173374613,0.15789473684210525,True,False,between_method_means
speed_rmse,grad_w1,19,-0.5406704569890484,-0.5736842105263158,-0.5406704569890484,-0.5736842105263158,-0.7401668641904436,-0.11973251953312854,-0.803921568627451,-0.4984520123839009,True,True,between_method_means
speed_rmse,grad_kurtosis_abs_delta,19,-0.053751653710144426,-0.17543859649122806,-0.053751653710144426,-0.17543859649122806,-0.1708805760700374,0.015668315054434483,-0.3560371517027864,-0.07739938080495357,False,True,between_method_means
speed_rmse,psd_log_l2,19,-0.6545894870462055,-0.7315789473684211,-0.6545894870462055,-0.7315789473684211,-0.8814208892993811,-0.36410703957275525,-0.9690402476780186,-0.6842105263157895,True,True,between_method_means
speed_rmse,psd_slope_abs_delta,19,-0.6421223124979076,-0.6175438596491228,-0.6421223124979076,-0.6175438596491228,-0.7883070215975473,-0.5654676842481435,-0.8307533539731682,-0.5521155830753354,True,True,between_method_means
speed_rmse,exceed_abs_t5,19,0.09589924966300459,-0.3157894736842105,0.09589924966300459,-0.3157894736842105,-0.35672192787844936,0.14827594296251426,-0.543859649122807,-0.27347781217750256,False,True,between_method_means
speed_rmse,exceed_abs_t10,19,0.8153729838346041,0.1280701754385965,0.8153729838346041,0.1280701754385965,0.19555075052558638,0.8455264717603175,-0.025799793601651185,0.18472652218782248,True,False,between_method_means
speed_rmse,exceed_abs_t15,19,0.6432151720930744,0.03859649122807018,0.6432151720930744,0.03859649122807018,0.22386249719185322,0.6946583838215491,-0.13106295149638802,0.10629514963880289,True,False,between_method_means
speed_rmse,exceed_abs_p90,19,0.607200819045476,0.07719298245614035,0.607200819045476,0.07719298245614035,0.3207284920102949,0.6618639755639998,-0.08565531475748193,0.15170278637770898,True,False,between_method_means
speed_rmse,comp_curve_l1,19,-0.07599163695729207,-0.43859649122807015,-0.07599163695729207,-0.43859649122807015,-0.2711967179926365,-0.03058533358600401,-0.6656346749226006,-0.37254901960784315,True,True,between_method_means
speed_rmse,comp_abs_t5,19,-0.6958492080310953,-0.5859649122807018,-0.6958492080310953,-0.5859649122807018,-0.8325001126422494,-0.16186182788491513,-0.8163054695562435,-0.5128998968008256,True,True,between_method_means
